pT RAAmin RAAcent RAAmax
0.255 0.321346 0.436138 0.585738
0.750 0.428355 0.572373 0.830681
1.250 0.588634 0.758110 1.098980
1.750 0.728167 0.925041 1.146340
2.250 0.739317 0.938604 1.159950
2.750 0.633567 0.825550 1.059510
3.250 0.527739 0.691169 0.905369
3.750 0.456138 0.572634 0.730428
4.250 0.392024 0.474319 0.580929
4.750 0.345334 0.401208 0.472598
5.250 0.306995 0.347280 0.397580
5.750 0.286587 0.317321 0.352959
6.250 0.253720 0.277196 0.302053
6.750 0.224182 0.242765 0.261991
7.250 0.224720 0.242389 0.260554
7.750 0.219920 0.239202 0.259091
8.250 0.212609 0.231132 0.250202
8.750 0.207899 0.226777 0.246323
9.250 0.202503 0.218040 0.234513
9.750 0.194630 0.216935 0.239921
10.25 0.182277 0.195284 0.209274
10.75 0.195565 0.207785 0.221109
11.25 0.188690 0.202498 0.217324
11.75 0.192239 0.202065 0.213242
12.25 0.188951 0.207077 0.225970
12.75 0.191390 0.201062 0.212105
13.25 0.198585 0.208439 0.219645
13.75 0.193066 0.207497 0.222781
14.25 0.203978 0.213772 0.224918
14.75 0.188951 0.201097 0.214168
15.25 0.187571 0.198190 0.209949
15.75 0.195191 0.205392 0.216683
16.25 0.204121 0.216976 0.230795
16.75 0.201262 0.211273 0.222489
17.25 0.197071 0.210615 0.225034
17.75 0.201565 0.217273 0.233779
18.25 0.194189 0.203730 0.214531
18.75 0.197004 0.209958 0.223928
19.25 0.205381 0.219554 0.234728
19.75 0.205679 0.215899 0.227526
20.25 0.206640 0.218092 0.230841
20.75 0.203245 0.215378 0.228765
21.25 0.218078 0.229716 0.242839
21.75 0.212641 0.223517 0.235997
22.25 0.215332 0.226493 0.239244
22.75 0.213357 0.227121 0.242339
23.25 0.213805 0.225108 0.238091
23.75 0.225879 0.237920 0.251733
24.25 0.210390 0.221965 0.235196
24.75 0.210089 0.221935 0.235454
25.25 0.225065 0.240532 0.257483
25.75 0.215486 0.233703 0.253164
26.25 0.224249 0.238873 0.255108
26.75 0.222602 0.235122 0.249432
27.25 0.223684 0.236175 0.250484
27.75 0.225056 0.237640 0.252067
28.25 0.230998 0.244287 0.259404
28.75 0.242147 0.255760 0.271307
29.25 0.221197 0.234155 0.248860
29.75 0.231928 0.245267 0.260444
30.25 0.235057 0.254568 0.275465
30.75 0.232595 0.246740 0.262641
31.25 0.232804 0.248632 0.266059
31.75 0.243166 0.262157 0.282630
32.25 0.248087 0.263077 0.279940
32.75 0.237252 0.254719 0.273689
33.25 0.246154 0.261044 0.277753
33.75 0.242848 0.262455 0.283477
34.25 0.252632 0.267977 0.285166
34.75 0.237302 0.251934 0.268248
35.25 0.248742 0.266209 0.285265
35.75 0.254275 0.270132 0.287762
36.25 0.255531 0.271196 0.288658
36.75 0.253751 0.269577 0.287145
37.25 0.250966 0.268146 0.286913
37.75 0.251310 0.267551 0.285447
38.25 0.254827 0.271565 0.289954
38.75 0.252922 0.268974 0.286686
39.25 0.260042 0.278744 0.298984
39.75 0.250247 0.268626 0.288460
