pT RAAmin RAAcent RAAmax
0.255 0.298536 0.415555 0.567971
0.750 0.391879 0.564316 0.827245
1.250 0.546266 0.712097 1.014040
1.750 0.801455 1.161020 1.543900
2.250 0.883498 1.175650 1.484630
2.750 0.806947 1.112550 1.507240
3.250 0.687208 0.972079 1.329700
3.750 0.528457 0.727940 1.005880
4.250 0.448503 0.622603 0.835032
4.750 0.378655 0.538194 0.717007
5.250 0.303263 0.418335 0.537225
5.750 0.217993 0.360919 0.504102
6.250 0.261665 0.318776 0.378633
6.750 0.205219 0.235732 0.266413
7.250 0.146966 0.175999 0.205478
7.750 0.176464 0.195046 0.213949
8.250 0.169934 0.182248 0.195802
8.750 0.130075 0.143073 0.156620
9.250 0.150528 0.175638 0.201169
9.750 0.146002 0.186172 0.226630
10.25 0.160947 0.172914 0.185630
10.75 0.146082 0.170848 0.196095
11.25 0.147479 0.155998 0.166030
11.75 0.146348 0.199215 0.252309
12.25 0.175390 0.195356 0.215987
12.75 0.175758 0.187329 0.200037
13.25 0.151734 0.194662 0.237834
13.75 0.182607 0.196025 0.210287
14.25 0.163384 0.171411 0.180843
14.75 0.147696 0.166362 0.185481
15.25 0.147713 0.173859 0.200398
15.75 0.145316 0.180238 0.215424
16.25 0.170859 0.191177 0.211950
16.75 0.163677 0.172071 0.181408
17.25 0.155402 0.192764 0.230387
17.75 0.175515 0.188596 0.202464
18.25 0.170961 0.191424 0.212453
18.75 0.160526 0.168553 0.177706
19.25 0.152023 0.171625 0.191746
19.75 0.184841 0.213965 0.243568
20.25 0.170159 0.179553 0.190314
20.75 0.163341 0.175440 0.188414
21.25 0.214264 0.235148 0.256888
21.75 0.186663 0.197951 0.210410
22.25 0.190079 0.200004 0.211327
22.75 0.200667 0.225778 0.251638
23.25 0.209643 0.221203 0.234453
23.75 0.191872 0.210685 0.230488
24.25 0.192964 0.204329 0.217280
24.75 0.192584 0.215696 0.239681
25.25 0.229477 0.249957 0.271693
25.75 0.217150 0.248725 0.281158
26.25 0.193767 0.220046 0.247103
26.75 0.202633 0.228126 0.254505
27.25 0.210067 0.228282 0.247705
27.75 0.179952 0.191178 0.203778
28.25 0.208135 0.220178 0.233893
28.75 0.231661 0.245780 0.261640
29.25 0.231136 0.258095 0.286137
29.75 0.231312 0.246353 0.263069
30.25 0.226957 0.240006 0.254801
30.75 0.208258 0.241967 0.276416
31.25 0.258297 0.273203 0.290075
31.75 0.224341 0.239377 0.255963
32.25 0.218356 0.231635 0.246564
32.75 0.260177 0.278129 0.297807
33.25 0.220933 0.239868 0.260056
33.75 0.263834 0.290500 0.318441
34.25 0.230952 0.244852 0.260448
34.75 0.278364 0.295130 0.313912
35.25 0.262382 0.280084 0.299517
35.75 0.248390 0.264160 0.281612
36.25 0.223608 0.248368 0.274118
36.75 0.210216 0.236239 0.263105
37.25 0.263317 0.280176 0.298778
37.75 0.259659 0.286104 0.313740
38.25 0.242883 0.259514 0.277635
38.75 0.275799 0.300138 0.325895
39.25 0.260439 0.281081 0.303136
39.75 0.237889 0.255224 0.273958
