pT pTlow pThigh Raa Raa-error
1.50 1.00 2.00 5.036e-01 4.467e-03
2.50 2.00 3.00 6.822e-01 7.064e-03
3.50 3.00 4.00 5.957e-01 7.655e-03
4.50 4.00 5.00 4.811e-01 7.657e-03
5.50 5.00 6.00 4.335e-01 7.278e-03
6.50 6.00 7.00 4.090e-01 6.414e-03
7.50 7.00 8.00 4.121e-01 7.013e-03
9.00 8.00 10.0 3.954e-01 4.102e-03
11.0 10.0 12.0 4.007e-01 3.703e-03
14.0 12.0 16.0 4.178e-01 3.134e-03
20.0 16.0 24.0 4.512e-01 2.605e-03
30.0 24.0 36.0 5.107e-01 2.637e-03
43.0 36.0 50.0 5.752e-01 3.358e-03
