pT pTlow pThigh Raa Raa-error
1.50 1.00 2.00 5.112e-01 5.997e-03
2.50 2.00 3.00 6.638e-01 9.552e-03
3.50 3.00 4.00 4.725e-01 9.442e-03
4.50 4.00 5.00 3.165e-01 8.351e-03
5.50 5.00 6.00 2.343e-01 6.130e-03
6.50 6.00 7.00 2.220e-01 5.912e-03
7.50 7.00 8.00 2.085e-01 1.025e-02
9.00 8.00 10.0 1.951e-01 2.960e-03
11.0 10.0 12.0 1.971e-01 2.854e-03
14.0 12.0 16.0 2.101e-01 2.603e-03
20.0 16.0 24.0 2.283e-01 1.743e-03
30.0 24.0 36.0 2.755e-01 2.054e-03
43.0 36.0 50.0 3.228e-01 2.647e-03
