#Ds 0-10%
pt Raa
0.25 0.640804190
0.75 0.884711417
1.25 1.100939093
1.75 1.266084271
2.25 1.252318722
2.75 1.167665328
3.25 0.892305283
3.75 0.640311976
4.25 0.452090062
4.75 0.308685164
5.25 0.238379386
5.75 0.187333122
6.50 0.159243227
7.50 0.147443014
8.50 0.137384902
9.50 0.160108323
10.5 0.135556121
11.5 0.192096752
12.5 0.110174832
13.5 0.155006531
14.5 0.230513538
