#Ds 30-50%
pt Raa
0.25 0.643655846
0.75 0.842524878
1.25 0.975971317
1.75 1.031235740
2.25 0.980120422
2.75 0.858127480
3.25 0.693030175
3.75 0.538030436
4.25 0.444944183
4.75 0.352528857
5.25 0.331662638
5.75 0.302984361
6.50 0.252466368
7.50 0.247826206
8.50 0.238464555
9.50 0.246496496
10.5 0.283641200
11.5 0.263772845
12.5 0.311299209
13.5 0.249183821
14.5 0.285291221
