#Ds 30-50%
pt Raa
0.25 0.907137123
0.75 1.182749470
1.25 1.368386195
1.75 1.443590899
2.25 1.329051594
2.75 1.138868997
3.25 0.858603406
3.75 0.641925566
4.25 0.500247815
4.75 0.432354161
5.25 0.355070280
5.75 0.297777849
6.50 0.275472344
7.50 0.256245951
8.50 0.289800541
9.50 0.332418361
10.5 0.315384593
11.5 0.245400579
12.5 0.195377298
13.5 0.304921209
14.5 0.321653262
