0.1 1.0601005
0.3 1.2120606
0.5 1.3015307
0.7 1.3551591
0.9 1.3498268
1.1 1.2814148
1.3 1.2279824
1.5 1.1032183
1.7 1.0296271
1.9 0.93384543
2.1 0.85953452
2.3 0.76252089
2.5 0.72336985
2.7 0.66070725
2.9 0.5901283
3.1 0.56982254
3.3 0.50797073
3.5 0.48536666
3.7 0.4544786
3.9 0.42601902
4.1 0.38804873
4.3 0.37206349
4.5 0.35390968
4.7 0.3361437
4.9 0.31920228
5.1 0.30621385
5.3 0.28865916
5.5 0.29056234
5.7 0.26997421
5.9 0.26277079
6.1 0.24983582
6.3 0.2484742
6.5 0.25054154
6.7 0.2403128
6.9 0.24409508
7.1 0.21928758
7.3 0.21693593
7.5 0.21848616
7.7 0.21211904
7.9 0.21055913
8.1 0.21289956
8.3 0.20701969
8.5 0.194873
8.7 0.19582967
8.9 0.20062725
9.1 0.18207809
9.3 0.19854882
9.5 0.19437328
9.7 0.21218315
9.9 0.19937174
10.1 0.19224957
10.3 0.19974702
10.5 0.20662568
10.7 0.20658936
10.9 0.2136061
11.1 0.18735181
11.3 0.20957866
11.5 0.23209496
11.7 0.22249975
11.9 0.20490391
12.1 0.21164346
15.1 0.21164346
18.1 0.21164346
21.1 0.21164346
