# FONLL heavy quark hadroproduction cross section, calculated on Fri Mar 12 22:30:35 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.05
# ptmax = 149.95
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.2500 4.6425e+06 2.5378e+06 6.8906e+06 2.7922e+06 6.5630e+06 3.8427e+06 5.6420e+06 4.0369e+06 5.2481e+06 4.4336e+06 4.6011e+06 5.7796e+06 3.4690e+06 6.5630e+06 2.7922e+06
2.3500 4.6842e+06 2.5791e+06 6.9383e+06 2.8338e+06 6.6127e+06 3.8845e+06 5.6812e+06 4.0775e+06 5.2908e+06 4.4895e+06 4.6377e+06 5.8237e+06 3.5033e+06 6.6127e+06 2.8338e+06
2.4500 4.7140e+06 2.6145e+06 6.9694e+06 2.8687e+06 6.6469e+06 3.9167e+06 5.7058e+06 4.1080e+06 5.3199e+06 4.5346e+06 4.6620e+06 5.8534e+06 3.5284e+06 6.6469e+06 2.8687e+06
2.5500 4.7325e+06 2.6439e+06 6.9849e+06 2.8969e+06 6.6665e+06 3.9398e+06 5.7166e+06 4.1290e+06 5.3361e+06 4.5695e+06 4.6747e+06 5.8695e+06 3.5447e+06 6.6665e+06 2.8969e+06
2.6500 4.7405e+06 2.6676e+06 6.9856e+06 2.9187e+06 6.6723e+06 3.9541e+06 5.7145e+06 4.1408e+06 5.3402e+06 4.5945e+06 4.6764e+06 5.8726e+06 3.5528e+06 6.6723e+06 2.9187e+06
2.7500 4.7385e+06 2.6857e+06 6.9725e+06 2.9344e+06 6.6652e+06 3.9601e+06 5.7002e+06 4.1440e+06 5.3330e+06 4.6100e+06 4.6678e+06 5.8637e+06 3.5530e+06 6.6652e+06 2.9344e+06
2.8500 4.7272e+06 2.6983e+06 6.9465e+06 2.9441e+06 6.6460e+06 3.9584e+06 5.6748e+06 4.1392e+06 5.3153e+06 4.6165e+06 4.6496e+06 5.8434e+06 3.5460e+06 6.6460e+06 2.9441e+06
2.9500 4.7072e+06 2.7059e+06 6.9087e+06 2.9482e+06 6.6154e+06 3.9494e+06 5.6390e+06 4.1267e+06 5.2877e+06 4.6146e+06 4.6226e+06 5.8125e+06 3.5322e+06 6.6154e+06 2.9482e+06
3.0500 4.6791e+06 2.7086e+06 6.8598e+06 2.9471e+06 6.5744e+06 3.9335e+06 5.5936e+06 4.1071e+06 5.2511e+06 4.6046e+06 4.5873e+06 5.7718e+06 3.5120e+06 6.5744e+06 2.9471e+06
3.1500 4.6435e+06 2.7067e+06 6.8007e+06 2.9409e+06 6.5236e+06 3.9113e+06 5.5394e+06 4.0810e+06 5.2060e+06 4.5872e+06 4.5444e+06 5.7219e+06 3.4860e+06 6.5236e+06 2.9409e+06
3.2500 4.6011e+06 2.7004e+06 6.7323e+06 2.9301e+06 6.4638e+06 3.8831e+06 5.4772e+06 4.0488e+06 5.1534e+06 4.5628e+06 4.4946e+06 5.6637e+06 3.4546e+06 6.4638e+06 2.9301e+06
3.3500 4.5523e+06 2.6900e+06 6.6553e+06 2.9149e+06 6.3957e+06 3.8495e+06 5.4076e+06 4.0109e+06 5.0936e+06 4.5320e+06 4.4384e+06 5.5978e+06 3.4182e+06 6.3957e+06 2.9149e+06
3.4500 4.4977e+06 2.6758e+06 6.5705e+06 2.8956e+06 6.3200e+06 3.8108e+06 5.3315e+06 3.9679e+06 5.0275e+06 4.4951e+06 4.3766e+06 5.5248e+06 3.3773e+06 6.3200e+06 2.8956e+06
3.5500 4.4380e+06 2.6580e+06 6.4787e+06 2.8724e+06 6.2374e+06 3.7675e+06 5.2495e+06 3.9202e+06 4.9557e+06 4.4526e+06 4.3095e+06 5.4455e+06 3.3323e+06 6.2374e+06 2.8724e+06
3.6500 4.3736e+06 2.6368e+06 6.3806e+06 2.8458e+06 6.1486e+06 3.7202e+06 5.1625e+06 3.8683e+06 4.8789e+06 4.4050e+06 4.2383e+06 5.3608e+06 3.2838e+06 6.1486e+06 2.8458e+06
3.7500 4.3052e+06 2.6125e+06 6.2769e+06 2.8160e+06 6.0540e+06 3.6691e+06 5.0711e+06 3.8126e+06 4.7979e+06 4.3527e+06 4.1633e+06 5.2712e+06 3.2322e+06 6.0540e+06 2.8160e+06
3.8500 4.2332e+06 2.5853e+06 6.1683e+06 2.7832e+06 5.9544e+06 3.6146e+06 4.9759e+06 3.7534e+06 4.7130e+06 4.2962e+06 4.0851e+06 5.1774e+06 3.1779e+06 5.9544e+06 2.7832e+06
3.9500 4.1579e+06 2.5556e+06 6.0553e+06 2.7477e+06 5.8504e+06 3.5572e+06 4.8773e+06 3.6912e+06 4.6247e+06 4.2358e+06 4.0041e+06 5.0798e+06 3.1211e+06 5.8504e+06 2.7477e+06
4.0500 4.0799e+06 2.5234e+06 5.9385e+06 2.7098e+06 5.7425e+06 3.4972e+06 4.7759e+06 3.6263e+06 4.5335e+06 4.1719e+06 3.9207e+06 4.9789e+06 3.0622e+06 5.7425e+06 2.7098e+06
4.1500 3.9996e+06 2.4893e+06 5.8188e+06 2.6698e+06 5.6314e+06 3.4349e+06 4.6724e+06 3.5592e+06 4.4400e+06 4.1051e+06 3.8355e+06 4.8756e+06 3.0016e+06 5.6314e+06 2.6698e+06
4.2500 3.9176e+06 2.4533e+06 5.6966e+06 2.6281e+06 5.5177e+06 3.3709e+06 4.5673e+06 3.4903e+06 4.3448e+06 4.0358e+06 3.7489e+06 4.7703e+06 2.9397e+06 5.5177e+06 2.6281e+06
4.3500 3.8340e+06 2.4156e+06 5.5725e+06 2.5847e+06 5.4017e+06 3.3053e+06 4.4609e+06 3.4199e+06 4.2481e+06 3.9643e+06 3.6614e+06 4.6634e+06 2.8766e+06 5.4017e+06 2.5847e+06
4.4500 3.7493e+06 2.3764e+06 5.4468e+06 2.5398e+06 5.2840e+06 3.2384e+06 4.3537e+06 3.3482e+06 4.1504e+06 3.8908e+06 3.5731e+06 4.5553e+06 2.8128e+06 5.2840e+06 2.5398e+06
4.5500 3.6638e+06 2.3360e+06 5.3201e+06 2.4938e+06 5.1650e+06 3.1704e+06 4.2460e+06 3.2756e+06 4.0521e+06 3.8157e+06 3.4845e+06 4.4464e+06 2.7483e+06 5.1650e+06 2.4938e+06
