# FONLL heavy quark hadroproduction cross section, calculated on Tue Apr  7 18:40:05 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
1.1512 1.8090e+08 2.4577e+07 4.5746e+08 3.6128e+07 4.4940e+08 1.4071e+08 2.3123e+08 1.3774e+08 2.2402e+08 1.1800e+08 2.4892e+08 3.7803e+08 1.0121e+08 4.4940e+08 3.6128e+07
1.2012 1.8198e+08 2.3861e+07 4.5606e+08 3.5178e+07 4.4766e+08 1.4095e+08 2.3457e+08 1.3995e+08 2.2399e+08 1.1250e+08 2.4576e+08 3.7558e+08 1.0216e+08 4.4766e+08 3.5178e+07
1.2513 1.8237e+08 2.3237e+07 4.5297e+08 3.4288e+07 4.4430e+08 1.4076e+08 2.3674e+08 1.4159e+08 2.2316e+08 1.0738e+08 2.4189e+08 3.7172e+08 1.0274e+08 4.4430e+08 3.4288e+07
1.3013 1.8212e+08 2.2695e+07 4.4833e+08 3.3460e+07 4.3943e+08 1.4019e+08 2.3778e+08 1.4265e+08 2.2162e+08 1.0263e+08 2.3738e+08 3.6655e+08 1.0296e+08 4.3943e+08 3.3460e+07
1.3514 1.8126e+08 2.2232e+07 4.4226e+08 3.2698e+07 4.3320e+08 1.3924e+08 2.3774e+08 1.4313e+08 2.1943e+08 9.8242e+07 2.3231e+08 3.6020e+08 1.0282e+08 4.3320e+08 3.2698e+07
1.4014 1.7985e+08 2.1848e+07 4.3494e+08 3.2005e+07 4.2579e+08 1.3797e+08 2.3672e+08 1.4309e+08 2.1665e+08 9.4208e+07 2.2676e+08 3.5281e+08 1.0236e+08 4.2579e+08 3.2005e+07
1.4515 1.7795e+08 2.1546e+07 4.2653e+08 3.1382e+07 4.1734e+08 1.3638e+08 2.3483e+08 1.4256e+08 2.1335e+08 9.0522e+07 2.2080e+08 3.4451e+08 1.0160e+08 4.1734e+08 3.1382e+07
1.5015 1.7559e+08 2.1323e+07 4.1718e+08 3.0830e+07 4.0799e+08 1.3453e+08 2.3215e+08 1.4159e+08 2.0960e+08 8.7171e+07 2.1449e+08 3.3544e+08 1.0057e+08 4.0799e+08 3.0830e+07
1.5516 1.7284e+08 2.1216e+07 4.0706e+08 3.0390e+07 3.9793e+08 1.3242e+08 2.2879e+08 1.4022e+08 2.0545e+08 8.4255e+07 2.0798e+08 3.2585e+08 9.9318e+07 3.9793e+08 3.0390e+07
1.6016 1.6973e+08 2.1253e+07 3.9631e+08 3.0093e+07 3.8728e+08 1.3009e+08 2.2483e+08 1.3850e+08 2.0095e+08 8.1846e+07 2.0136e+08 3.1593e+08 9.7858e+07 3.8728e+08 3.0093e+07
1.6517 1.6632e+08 2.1423e+07 3.8507e+08 2.9931e+07 3.7618e+08 1.2757e+08 2.2036e+08 1.3646e+08 1.9616e+08 7.9916e+07 1.9468e+08 3.0576e+08 9.6221e+07 3.7618e+08 2.9931e+07
1.7017 1.6265e+08 2.1714e+07 3.7344e+08 2.9892e+07 3.6472e+08 1.2488e+08 2.1548e+08 1.3416e+08 1.9114e+08 7.8432e+07 1.8794e+08 2.9540e+08 9.4433e+07 3.6472e+08 2.9892e+07
1.7518 1.5877e+08 2.2114e+07 3.6151e+08 2.9968e+07 3.5298e+08 1.2205e+08 2.1026e+08 1.3163e+08 1.8591e+08 7.7361e+07 1.8120e+08 2.8490e+08 9.2515e+07 3.5298e+08 2.9968e+07
1.8018 1.5473e+08 2.2647e+07 3.4944e+08 3.0191e+07 3.4112e+08 1.1911e+08 2.0477e+08 1.2890e+08 1.8057e+08 7.6768e+07 1.7450e+08 2.7437e+08 9.0490e+07 3.4112e+08 3.0191e+07
1.8519 1.5059e+08 2.3317e+07 3.3735e+08 3.0570e+07 3.2925e+08 1.1611e+08 1.9910e+08 1.2601e+08 1.7519e+08 7.6628e+07 1.6790e+08 2.6394e+08 8.8377e+07 3.2925e+08 3.0570e+07
1.9019 1.4637e+08 2.4094e+07 3.2529e+08 3.1070e+07 3.1744e+08 1.1305e+08 1.9328e+08 1.2298e+08 1.6977e+08 7.6811e+07 1.6141e+08 2.5365e+08 8.6194e+07 3.1744e+08 3.1070e+07
1.9520 1.4210e+08 2.4949e+07 3.1332e+08 3.1665e+07 3.0573e+08 1.0995e+08 1.8736e+08 1.1985e+08 1.6434e+08 7.7213e+07 1.5506e+08 2.4352e+08 8.3956e+07 3.0573e+08 3.1665e+07
