pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.429 49727207.278 19140335.023 92281510.009 20977886.919 90219968.772 41140074.951 61389865.372 43787030.951 55666859.039 40535251.276 49974277.487 74372854.076 31950741.775 90219968.772 20977886.919
3.529 45992190.385 18302706.624 84575684.038 19987872.966 82687090.700 38162071.999 56616178.254 40590709.383 51393151.113 38229187.300 45929237.274 68072603.959 29702422.501 82687090.700 19987872.966
3.630 42524636.374 17459985.532 77511667.979 19005988.919 75783569.432 35386299.747 52204051.641 37610130.445 47439142.303 35997066.518 42225959.043 62330193.278 27600570.979 75783569.432 19005988.919
3.731 39311485.727 16623680.141 71046393.811 18042051.472 69466448.817 32804566.636 48127987.839 34837020.148 43785439.997 33850704.972 38835456.992 57092769.578 25639592.786 69466448.817 18042051.472
3.832 36338512.044 15801423.722 65129954.454 17103009.510 63685999.805 30409178.268 44366899.896 32262506.727 40414517.362 31795881.382 35729517.838 52321823.388 23813598.750 63685999.805 17103009.510
3.933 33590051.310 14997055.286 59718211.917 16191519.900 58398278.332 28187357.376 40898869.868 29874664.111 37305438.509 29835517.792 32884413.812 47965282.371 22115662.882 58398278.332 16191519.900
4.034 31051024.369 14214676.568 54774291.270 15311056.993 53566583.006 26128743.444 37703856.806 27662483.239 34439565.498 27971119.796 30278190.480 43992885.767 20537501.480 53566583.006 15311056.993
4.135 28705730.757 13455672.913 50249666.322 14461847.079 49147548.898 24221490.486 34760980.375 25612913.735 31798547.780 26201857.734 27889967.056 40368494.788 19071059.594 49147548.898 14461847.079
4.235 26540856.406 12721886.331 46114524.967 13645618.183 45108986.604 22455400.296 32051596.190 23715610.119 29366102.692 24527344.962 25701852.725 37061758.039 17709648.777 45108986.604 13645618.183
4.336 24542855.009 12015120.354 42335967.200 12862572.004 41418175.617 20821101.742 29558188.539 21960030.509 27125197.729 22943826.000 23696366.920 34044527.235 16445572.528 41418175.617 12862572.004
4.437 22698437.039 11334684.429 38882742.397 12112853.927 38045006.955 19307943.483 27262617.963 20335813.420 25061537.185 21449458.316 21857365.904 31289752.332 15272231.618 38045006.955 12112853.927
4.538 20998606.909 10684956.698 35727882.858 11399768.803 34963123.433 17908469.935 25153187.223 18834851.346 23162362.472 20044895.833 20171177.735 28773425.462 14185038.650 34963123.433 11399768.803
4.639 19432548.678 10068183.314 32844682.398 10724955.855 32146454.001 16615413.694 23215279.036 17449654.560 21415442.797 18728264.932 18622063.415 26471659.770 13178769.859 32146454.001 10724955.855
4.739 17989653.933 9483235.943 30210005.595 10087187.478 29571989.721 15419637.610 21435676.178 16171354.725 19807953.140 17495260.680 17199269.189 24366130.040 12247050.739 29571989.721 10087187.478
4.840 16659316.156 8928629.396 27800091.710 9484394.734 27217038.385 14313913.660 19800618.277 14990655.742 18328431.370 16341411.106 15892068.917 22438457.035 11384548.240 27217038.385 9484394.734
4.941 15432568.219 8402899.756 25594569.624 8914997.784 25061358.782 13291189.884 18296723.508 13899867.804 16965268.634 15261868.876 14690026.078 20673038.044 10585156.091 25061358.782 8914997.784
5.042 14301225.251 7905795.033 23575441.855 8377312.741 23087955.532 12345069.941 16913424.485 12892882.142 15709568.360 14251988.689 13584855.449 19055880.301 9844651.010 23087955.532 8377312.741
5.143 13256989.367 7435299.074 21726136.563 7870119.567 21279493.156 11469539.967 15640839.082 11961723.486 14552693.134 13307346.222 12568195.171 17573666.532 9158379.277 21279493.156 7870119.567
5.244 12293359.622 6990265.481 20031270.190 7391314.407 19622874.463 10659344.550 14469309.340 11101016.966 13485702.278 12424305.553 11633011.822 16214822.928 8521857.498 19622874.463 7391314.407
5.345 11403477.200 6569695.741 18478042.141 6939393.035 18103654.339 9909337.271 13390973.263 10305471.973 12501908.837 11599199.296 10771964.290 14968689.512 7932075.043 18103654.339 6939393.035
5.445 10581547.352 6172604.341 17052792.176 6513727.483 16709986.551 9214951.679 12396944.990 9569114.054 11593980.650 10828030.906 9978798.322 13824951.241 7384411.707 16709986.551 6513727.483
5.546 9821952.767 5798262.344 15745488.771 6113520.562 15431060.179 8571290.228 11481621.363 8888207.700 10756112.646 10108588.857 9247850.958 12774594.873 6876362.489 15431060.179 6113520.562
5.647 9120314.922 5446423.041 14544652.895 5737209.763 14256320.069 7974754.290 10638049.840 8258179.323 9982041.538 9437276.539 8573913.992 11809376.384 6405078.564 14256320.069 5737209.763
5.748 8471286.790 5115104.307 13442065.171 5384405.195 13177198.878 7421900.243 9860121.464 7675478.475 9267095.105 8811138.061 7952439.120 10922408.652 5967756.073 13177198.878 5384405.195
5.849 7871302.611 4803751.255 12428728.023 5052858.197 12185183.277 6909439.921 9143059.105 7135503.477 8606704.445 8227283.185 7378650.923 10106510.994 5561799.175 12185183.277 5052858.197
5.950 7315736.051 4511024.787 11496771.781 4741586.537 11272864.615 6434199.447 8481071.073 6635794.186 7996069.362 7682521.041 6849132.307 9355561.647 5184703.515 11272864.615 4741586.537
6.050 6801995.234 4235822.996 10639492.771 4449445.748 10433582.031 5993390.698 7870108.998 6173080.595 7431295.473 7174871.049 6360096.904 8664060.709 4834660.785 10433582.031 4449445.748
6.151 6326365.756 3977570.978 9850127.557 4175044.428 9660628.997 5584321.294 7305758.114 5743819.080 6908912.432 6701185.553 5907873.946 8027295.717 4509230.265 9660628.997 4175044.428
6.252 5886038.508 3734592.529 9123527.956 3918042.785 8948902.456 5204737.309 6784593.271 5346456.933 6425620.082 6259594.982 5490420.139 7440841.132 4207464.919 8948902.456 3918042.785
6.353 5478373.347 3506534.425 8453893.557 3676643.035 8293392.900 4852199.912 6303332.000 4978097.216 5978281.357 5847598.482 5104362.641 6900055.773 3926376.167 8293392.900 3676643.035
6.454 5100470.180 3292316.000 7836759.928 3450181.657 7688568.389 4525095.693 5857732.570 4636692.256 5563885.777 5463521.335 4746839.513 6400859.998 3665294.902 7688568.389 3450181.657
6.555 4750138.309 3091226.848 7268189.408 3237738.770 7131269.042 4221354.709 5446150.167 4320122.786 5180510.396 5105275.507 4416394.918 5940703.675 3422723.889 7131269.042 3237738.770
6.655 4425299.414 2902370.545 6743196.451 3038490.425 6616899.655 3939056.748 5065203.182 4026061.208 4824888.444 4771212.306 4110259.072 5516012.580 3196992.905 6616899.655 3038490.425
6.756 4124242.936 2725244.512 6258840.640 2851698.287 6142533.538 3676961.024 4712680.945 3753233.634 4495252.238 4460049.495 3827090.370 5123724.739 2986987.260 6142533.538 2851698.287
6.857 3844760.277 2559111.275 5811949.559 2676599.491 5704339.723 3432991.408 4386204.092 3500205.123 4189654.895 4169626.566 3564703.132 4761310.935 2791507.786 5704339.723 2676599.491
6.958 3585415.045 2403162.825 5398820.494 2512461.231 5299336.911 3206375.916 4083834.473 3264997.786 3905899.071 3898554.645 3321349.560 4426351.776 2609507.801 5299336.911 2512461.231
7.059 3344668.919 2257003.202 5017167.510 2358633.342 4925253.947 2995528.683 3803580.211 3046606.364 3642731.475 3646014.102 3095845.773 4116742.852 2440108.150 4925253.947 2358633.342
7.160 3121101.936 2119860.413 4664435.190 2214452.951 4579556.863 2799338.850 3543589.454 2843682.127 3398683.110 3410301.436 2886669.934 3830174.831 2282291.066 4579556.863 2214452.951
7.261 2913439.400 1991266.922 4338496.799 2079369.339 4259499.672 2616835.330 3302968.203 2655128.315 3171750.486 3190341.777 2692659.881 3565340.184 2135333.569 4259499.672 2079369.339
7.361 2720485.308 1870723.449 4036758.633 1952768.346 3963788.257 2446939.949 3079661.716 2479870.170 2961100.447 2985455.089 2512613.288 3319840.279 1998390.423 3963788.257 1952768.346
7.462 2541130.045 1757659.642 3757679.006 1834124.931 3689948.229 2288779.266 2872459.200 2316882.942 2765377.148 2794124.419 2345446.329 3092630.198 1870779.234 3689948.229 1834124.931
7.563 2374439.620 1651647.899 3499060.047 1722936.203 3436415.487 2141540.400 2680253.492 2165333.285 2583545.954 2615651.290 2190240.521 2882131.608 1751879.194 3436415.487 1722936.203
7.664 2219405.038 1552245.894 3259740.051 1618742.815 3201440.570 2004377.609 2501787.603 2024353.320 2414486.349 2449081.320 2046045.462 2687043.824 1640997.236 3201440.570 1618742.815
7.765 2075277.725 1459108.775 3037956.295 1521129.839 2983873.229 1876653.304 2336155.825 1893227.147 2257328.302 2293703.526 1912068.989 2506197.635 1537645.528 2983873.229 1521129.839
7.865 1941192.548 1371764.259 2832543.647 1429669.800 2782294.093 1757648.839 2182298.992 1771218.218 2111195.445 2148675.499 1787587.174 2338503.973 1441268.048 2782294.093 1429669.800
7.966 1816412.521 1289848.215 2641998.448 1343927.489 2595299.999 1646709.683 2039380.778 1657626.568 1975198.475 2013281.285 1671798.874 2182899.931 1351364.442 2595299.999 1343927.489
8.067 1700299.703 1213078.030 2465358.755 1263583.892 2421910.480 1543323.513 1906596.300 1551897.379 1848729.595 1886967.385 1564137.883 2038512.540 1267498.648 2421910.480 1263583.892
8.168 1592172.180 1141119.014 2301465.198 1188320.363 2261033.980 1446912.263 1783116.937 1453411.588 1730959.852 1769035.066 1463972.991 1904464.754 1189214.020 2261033.980 1188320.363
8.269 1491494.611 1072189.643 2149486.598 1116160.405 2111820.175 1357002.071 1668335.278 1361683.773 1621332.050 1659025.074 1370781.172 1780031.120 1116160.405 2111820.175 1117836.241
8.370 1397721.377 1007073.223 2008398.163 1047964.425 1973307.502 1273140.386 1561573.598 1276223.556 1519245.325 1556295.628 1284009.868 1664441.753 1047964.425 1973307.502 1051779.196
8.471 1310309.587 946186.420 1877359.304 984246.376 1844663.158 1194872.175 1462215.777 1196540.346 1424104.493 1460393.622 1203213.028 1557019.201 984246.376 1844663.158 989866.828
8.571 1228861.244 889303.499 1755692.522 924771.780 1725190.304 1121851.398 1369776.448 1122279.941 1335467.755 1370835.202 1127951.841 1457174.124 924771.780 1725190.304 931880.561
8.672 1152904.132 836141.481 1642619.735 869172.152 1614145.019 1053638.794 1283664.982 1053019.778 1252813.246 1287180.991 1057823.339 1364285.571 869172.152 1614145.019 877516.482
8.773 1082096.692 786417.802 1537544.819 817209.072 1510961.203 989966.097 1203510.611 988409.509 1175783.875 1209080.280 992471.232 1277935.009 817209.072 1510961.203 826572.926
8.874 1016050.006 739938.035 1439834.219 768679.291 1414987.247 930495.193 1128840.922 928153.844 1103922.276 1136079.992 931546.411 1197552.355 768679.291 1414987.247 778833.102
8.975 954396.528 696447.080 1348936.439 723272.321 1325701.979 874929.980 1059233.229 871902.459 1036890.596 1067869.877 874718.757 1122717.285 723272.321 1325701.979 734044.661
9.076 896859.360 655761.689 1264373.646 680823.673 1242631.741 823010.662 994363.621 819390.853 974327.867 1004139.409 821719.520 1053064.460 680823.673 1242631.741 692098.107
9.177 843153.408 617681.280 1185642.717 641102.837 1165279.100 774474.335 933849.651 770374.430 915932.386 944541.116 772254.497 988145.079 641102.837 1165279.100 652723.010
9.277 793000.508 582036.689 1112350.632 603936.510 1093277.313 729103.776 877439.449 724585.825 861415.190 888834.478 726076.971 927693.305 603936.510 1093277.313 615821.168
9.378 746143.844 548667.983 1044063.408 569180.979 1026196.544 686682.397 824806.156 681805.640 810482.049 836746.557 682986.559 871321.234 569180.979 1026196.544 581208.856
9.479 702370.442 517439.971 980464.607 536631.477 963701.589 646988.010 775676.407 641830.158 762910.725 788033.760 642732.782 818765.959 536631.477 963701.589 548752.428
9.580 661459.065 488173.519 921176.164 506169.531 905440.214 609857.823 729831.239 604471.693 718446.438 742462.243 605126.477 769751.971 506169.531 905440.214 518293.605
9.681 623201.082 460762.288 865862.715 477620.711 851101.214 575096.444 687001.492 569532.334 676890.591 699790.640 569989.089 723998.671 477620.711 851101.214 489683.203
9.781 587449.833 435086.793 814310.540 450904.791 800431.523 542567.539 647007.147 536873.059 638026.606 659886.059 537138.394 681296.484 450904.791 800431.523 462865.239
9.882 553983.519 411002.552 766197.375 425852.505 753133.430 512102.638 609630.708 506303.129 601663.909 622534.113 506423.534 641437.702 425852.505 753133.430 437692.333
9.983 522689.165 388420.389 721290.130 402391.919 709015.707 483576.773 574687.729 477696.101 567662.496 587554.167 477696.101 604229.228 402391.919 709015.707 414054.595
10.084 493391.577 367253.665 679386.285 380374.026 667818.630 456844.772 542030.076 450925.082 535858.072 554820.488 450828.038 569474.146 380374.026 667818.630 391883.456
10.185 465945.021 347401.582 640218.577 359735.140 629336.026 431789.084 511460.814 425851.411 506057.723 524118.939 425660.489 536987.079 359735.140 629336.026 371037.719
10.286 440270.965 328766.210 603658.492 340375.027 593383.373 408299.756 482874.197 402382.641 478140.504 495384.670 402119.658 506617.797 340375.027 593383.373 351457.878
10.387 416190.500 311269.457 569468.386 322212.596 559763.745 386281.718 456118.169 380384.992 451996.007 468429.201 380052.262 478207.783 322212.596 559763.745 333063.310
10.487 393634.204 294857.218 537496.725 305173.400 528363.174 365633.139 431059.929 359774.567 427512.035 443177.349 359392.486 451637.709 305173.400 528363.174 315780.691
10.588 372497.571 279426.914 507607.648 289153.120 498974.073 346238.606 407605.055 340435.124 404542.106 419480.699 340023.148 426770.875 289153.120 498974.073 299524.157
10.689 352664.665 264935.031 479638.055 274124.242 471471.826 328042.516 385611.782 322310.282 383001.411 397234.988 321851.704 403496.351 274124.242 471471.826 284248.249
10.790 334058.757 251334.482 453454.796 260002.986 445724.367 310971.701 365015.216 305308.510 362809.004 376376.340 304839.473 381692.096 260002.986 445724.367 269870.140
10.891 316585.776 238530.328 428937.017 246727.776 421629.480 294919.870 345679.014 289340.813 343847.851 356785.786 288844.517 361269.567 246727.776 421629.480 256345.658
10.992 300209.367 226497.697 405962.256 234255.045 399048.098 279837.896 327562.450 274357.161 326044.708 338389.010 273851.247 342115.910 234255.045 399048.098 243614.454
11.092 284813.915 215185.349 384444.765 222515.546 377879.168 265682.266 310561.027 260296.814 309347.638 321099.225 259781.540 324157.629 222515.546 377879.168 231624.272
11.193 270356.166 204528.749 364254.870 211476.926 358044.118 252363.011 294592.847 247069.942 293642.389 304867.627 246545.552 307309.321 211476.926 358044.118 220342.405
11.294 256757.593 194507.452 345333.145 201084.764 339434.572 239821.418 279592.341 234650.066 278881.280 289595.674 234132.931 291502.610 201084.764 339434.572 209698.296
11.395 243992.564 185074.720 327571.096 191307.641 321959.872 228035.648 265512.880 222950.477 265018.710 275220.934 222440.365 276671.562 191307.641 321959.872 199676.653
11.496 231971.511 176180.695 310899.707 182110.534 305583.300 216950.301 252277.669 211964.204 251963.088 261715.078 211460.875 262721.735 182110.534 305583.300 190242.434
11.597 220661.443 167816.955 295239.857 173436.728 290178.957 206503.343 239833.871 201628.734 239694.153 249008.692 201131.959 249629.662 173436.728 290178.957 181323.038
11.697 210016.215 159914.558 280532.496 165263.434 275720.039 196667.012 228131.895 191900.534 228147.221 237021.146 191410.093 237312.345 165263.434 275720.039 172926.582
11.798 199999.820 152474.511 266716.878 157560.022 262115.702 187391.991 217118.013 182745.408 217269.367 225745.218 182261.074 225730.083 157560.022 262115.702 164991.527
11.899 190567.615 145453.954 253706.407 150289.163 249340.665 178651.532 206744.781 174106.377 207013.902 215117.436 173642.890 214833.364 150289.163 249340.665 157510.578
12.000 181671.892 138828.232 241475.732 143428.755 237309.555 170414.351 196977.420 165967.475 197361.536 205102.942 165524.264 204585.863 143428.755 237309.555 150440.341
