pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.512 2835629.731 1490036.419 4174788.702 1613481.603 4019109.039 2425024.620 3330163.757 2450448.113 3220936.896 2559392.490 2918679.809 3630537.622 2118436.122 4019109.039 1613481.603
3.612 2807977.758 1486426.910 4132102.343 1607235.584 3981130.734 2405439.114 3291557.711 2430234.867 3185783.424 2545488.036 2884593.496 3593814.799 2097500.974 3981130.734 1607235.584
3.712 2777375.405 1480934.180 4085335.670 1599012.183 3939699.856 2383248.485 3249812.963 2407385.110 3147491.249 2528633.202 2847556.802 3553325.532 2074305.960 3939699.856 1599012.183
3.813 2744105.155 1473715.164 4034802.553 1588999.721 3894188.664 2358672.441 3204929.512 2382149.939 3106091.758 2509047.696 2807820.823 3509069.821 2049070.789 3894188.664 1588999.721
3.913 2708418.103 1464895.409 3980816.864 1577260.972 3845224.899 2331930.692 3157535.098 2354717.675 3062149.918 2486951.228 2765730.818 3461989.278 2022015.170 3845224.899 1577260.972
4.013 2667705.760 1453011.553 3919491.062 1562309.576 3789060.834 2300745.329 3104302.136 2322786.784 3012624.735 2459926.644 2718561.007 3408743.846 1991130.305 3789060.834 1562309.576
4.114 2606961.053 1429791.360 3829137.340 1535294.032 3704723.812 2252133.673 3028100.844 2273283.973 2940669.237 2414026.776 2651283.372 3329617.027 1945329.915 3704723.812 1535294.032
4.214 2545435.901 1405645.653 3737588.803 1507377.926 3618793.154 2202625.601 2951285.034 2222836.290 2868004.656 2366841.300 2583481.364 3249446.684 1898971.582 3618793.154 1507377.926
4.314 2483259.495 1380619.180 3645162.786 1478666.345 3532208.044 2152415.362 2874101.269 2171669.707 2794879.894 2318572.093 2515339.866 3168548.874 1852212.881 3532208.044 1478666.345
4.415 2420737.581 1354940.070 3552253.451 1449296.328 3444443.759 2101681.629 2796796.010 2119963.723 2721511.439 2269469.953 2447128.179 3087001.482 1805220.158 3444443.759 1449296.328
4.515 2357998.511 1328635.733 3458827.659 1419414.894 3356689.804 2050560.554 2719518.311 2067884.822 2648112.200 2219675.534 2378968.407 3005263.272 1758066.661 3356689.804 1419414.894
4.615 2295301.782 1301834.812 3365860.712 1389120.010 3268412.169 1999309.306 2642649.041 2015660.334 2574943.229 2169395.873 2311114.751 2923516.069 1710999.123 3268412.169 1389120.010
4.716 2232843.091 1274660.475 3273029.387 1358502.937 3180497.205 1948069.367 2566344.499 1963491.397 2502224.442 2118779.381 2243757.143 2842072.609 1664185.375 3180497.205 1358502.937
4.816 2170754.705 1247173.922 3180905.554 1327682.318 3093217.316 1896949.653 2490728.498 1911427.040 2430082.371 2068000.569 2177081.206 2761090.758 1617642.016 3093217.316 1327682.318
4.916 2109186.393 1219492.905 3089533.846 1296745.849 3006032.931 1846100.119 2416008.460 1859676.317 2358725.665 2017189.406 2111171.729 2680758.913 1571568.965 3006032.931 1296745.849
5.017 2048232.250 1191673.482 2998882.701 1265747.507 2919797.020 1795592.605 2342297.728 1808252.108 2288241.361 1966452.441 2046204.412 2601223.671 1525977.059 2919797.020 1265747.507
5.117 1988042.360 1163828.161 2909498.542 1234855.339 2834562.139 1745555.404 2269707.804 1757311.824 2218772.895 1916009.132 1982264.755 2522715.175 1480992.821 2834562.139 1234855.339
5.217 1928722.670 1136093.008 2821464.967 1204175.304 2750387.848 1696096.275 2198399.297 1706991.724 2150453.616 1865974.010 1919510.026 2445400.839 1436716.133 2750387.848 1204175.304
5.318 1870386.001 1108488.002 2734823.244 1173696.509 2667435.460 1647307.248 2128446.401 1657382.868 2083389.134 1816413.509 1857961.290 2369355.604 1393180.869 2667435.460 1173696.509
5.418 1813030.655 1081033.149 2649699.536 1143493.342 2585807.028 1599250.536 2059922.540 1608490.376 2017599.019 1767365.065 1797724.538 2294709.953 1350420.813 2585807.028 1143493.342
5.518 1756808.034 1053772.682 2566193.298 1113580.573 2505660.801 1551967.400 1992890.348 1560439.720 1953176.348 1718877.680 1738860.092 2221531.513 1308555.414 2505660.801 1113580.573
5.619 1701712.185 1026724.576 2484394.694 1083973.791 2427034.853 1505543.738 1927445.564 1513232.280 1890219.746 1671040.987 1681384.565 2149887.806 1267558.473 2427034.853 1083973.791
5.719 1647820.838 999961.765 2404365.440 1054771.109 2350050.121 1459981.503 1863545.146 1466952.746 1828688.929 1623915.510 1625315.248 2079845.818 1227460.339 2350050.121 1054771.109
