# FONLL heavy quark hadroproduction cross section, calculated on Fri Mar 12 22:41:27 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.05
# ptmax = 49.95
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.2500 1.1672e+08 2.9196e+07 2.4629e+08 3.4533e+07 2.4024e+08 9.1441e+07 1.5231e+08 1.0040e+08 1.3305e+08 7.8524e+07 1.2079e+08 1.8839e+08 7.0359e+07 2.4024e+08 3.4533e+07
2.3500 1.0866e+08 2.9795e+07 2.2616e+08 3.4719e+07 2.2059e+08 8.5501e+07 1.4123e+08 9.3972e+07 1.2336e+08 7.7429e+07 1.1080e+08 1.7227e+08 6.5930e+07 2.2059e+08 3.4719e+07
2.4500 1.0098e+08 2.9971e+07 2.0739e+08 3.4505e+07 2.0229e+08 7.9798e+07 1.3071e+08 8.7752e+07 1.1420e+08 7.5533e+07 1.0158e+08 1.5739e+08 6.1659e+07 2.0229e+08 3.4505e+07
2.5500 9.3692e+07 2.9766e+07 1.8999e+08 3.3933e+07 1.8532e+08 7.4362e+07 1.2080e+08 8.1787e+07 1.0560e+08 7.2990e+07 9.3094e+07 1.4372e+08 5.7572e+07 1.8532e+08 3.3933e+07
2.6500 8.6838e+07 2.9244e+07 1.7393e+08 3.3065e+07 1.6968e+08 6.9215e+07 1.1151e+08 7.6115e+07 9.7561e+07 7.0008e+07 8.5306e+07 1.3119e+08 5.3689e+07 1.6968e+08 3.3065e+07
2.7500 8.0419e+07 2.8477e+07 1.5918e+08 3.1974e+07 1.5530e+08 6.4366e+07 1.0286e+08 7.0753e+07 9.0085e+07 6.6745e+07 7.8175e+07 1.1976e+08 5.0020e+07 1.5530e+08 3.1974e+07
2.8500 7.4431e+07 2.7600e+07 1.4566e+08 3.0802e+07 1.4211e+08 5.9814e+07 9.4828e+07 6.5711e+07 8.3152e+07 6.3420e+07 7.1659e+07 1.0934e+08 4.6568e+07 1.4211e+08 3.0802e+07
2.9500 6.8863e+07 2.6681e+07 1.3329e+08 2.9617e+07 1.3006e+08 5.5555e+07 8.7401e+07 6.0989e+07 7.6738e+07 6.0154e+07 6.5713e+07 9.9861e+07 4.3332e+07 1.3006e+08 2.9617e+07
3.0500 6.3697e+07 2.5698e+07 1.2199e+08 2.8392e+07 1.1904e+08 5.1582e+07 8.0546e+07 5.6578e+07 7.0816e+07 5.6924e+07 6.0290e+07 9.1249e+07 4.0306e+07 1.1904e+08 2.8392e+07
3.1500 5.8912e+07 2.4664e+07 1.1168e+08 2.7136e+07 1.0900e+08 4.7881e+07 7.4228e+07 5.2469e+07 6.5355e+07 5.3743e+07 5.5348e+07 8.3428e+07 3.7482e+07 1.0900e+08 2.7136e+07
3.2500 5.4486e+07 2.3603e+07 1.0228e+08 2.5873e+07 9.9828e+07 4.4440e+07 6.8414e+07 4.8648e+07 6.0324e+07 5.0644e+07 5.0843e+07 7.6328e+07 3.4851e+07 9.9828e+07 2.5873e+07
3.3500 5.0398e+07 2.2535e+07 9.3704e+07 2.4619e+07 9.1470e+07 4.1246e+07 6.3067e+07 4.5102e+07 5.5694e+07 4.7654e+07 4.6739e+07 6.9883e+07 3.2404e+07 9.1470e+07 2.4619e+07
