# FONLL heavy quark hadroproduction cross section, calculated on Tue Dec 28 18:00:00 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.
# ptmax = 150.
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
29.7599 4.0655e+04 3.3527e+04 4.9669e+04 3.3969e+04 4.9322e+04 3.9548e+04 4.1767e+04 3.8445e+04 4.2865e+04 4.5180e+04 3.7373e+04 4.4027e+04 3.3969e+04 4.9322e+04 3.6177e+04
29.8099 4.0367e+04 3.3295e+04 4.9307e+04 3.3734e+04 4.8963e+04 3.9270e+04 4.1469e+04 3.8174e+04 4.2561e+04 4.4859e+04 3.7109e+04 4.3710e+04 3.3734e+04 4.8963e+04 3.5928e+04
29.8600 4.0082e+04 3.3065e+04 4.8948e+04 3.3500e+04 4.8606e+04 3.8995e+04 4.1174e+04 3.7904e+04 4.2259e+04 4.4540e+04 3.6847e+04 4.3396e+04 3.3500e+04 4.8606e+04 3.5681e+04
29.9100 3.9798e+04 3.2836e+04 4.8592e+04 3.3269e+04 4.8253e+04 3.8722e+04 4.0880e+04 3.7637e+04 4.1960e+04 4.4224e+04 3.6587e+04 4.3084e+04 3.3269e+04 4.8253e+04 3.5436e+04
29.9600 3.9518e+04 3.2610e+04 4.8239e+04 3.3039e+04 4.7903e+04 3.8450e+04 4.0590e+04 3.7372e+04 4.1664e+04 4.3911e+04 3.6330e+04 4.2775e+04 3.3039e+04 4.7903e+04 3.5193e+04
30.0100 3.9239e+04 3.2385e+04 4.7889e+04 3.2811e+04 4.7555e+04 3.8182e+04 4.0302e+04 3.7109e+04 4.1370e+04 4.3600e+04 3.6075e+04 4.2469e+04 3.2811e+04 4.7555e+04 3.4952e+04
30.0600 3.8963e+04 3.2162e+04 4.7543e+04 3.2585e+04 4.7211e+04 3.7915e+04 4.0016e+04 3.6849e+04 4.1078e+04 4.3292e+04 3.5821e+04 4.2165e+04 3.2585e+04 4.7211e+04 3.4713e+04
30.1100 3.8689e+04 3.1941e+04 4.7199e+04 3.2361e+04 4.6870e+04 3.7651e+04 3.9732e+04 3.6590e+04 4.0789e+04 4.2986e+04 3.5570e+04 4.1864e+04 3.2361e+04 4.6870e+04 3.4476e+04
30.1601 3.8418e+04 3.1722e+04 4.6858e+04 3.2139e+04 4.6531e+04 3.7388e+04 3.9451e+04 3.6334e+04 4.0502e+04 4.2683e+04 3.5321e+04 4.1565e+04 3.2139e+04 4.6531e+04 3.4240e+04
30.2101 3.8148e+04 3.1505e+04 4.6520e+04 3.1918e+04 4.6195e+04 3.7128e+04 3.9172e+04 3.6080e+04 4.0217e+04 4.2382e+04 3.5074e+04 4.1269e+04 3.1918e+04 4.6195e+04 3.4007e+04
30.2601 3.7881e+04 3.1289e+04 4.6185e+04 3.1699e+04 4.5862e+04 3.6870e+04 3.8896e+04 3.5827e+04 3.9935e+04 4.2084e+04 3.4829e+04 4.0975e+04 3.1699e+04 4.5862e+04 3.3775e+04
30.3101 3.7616e+04 3.1075e+04 4.5852e+04 3.1482e+04 4.5532e+04 3.6614e+04 3.8622e+04 3.5577e+04 3.9656e+04 4.1788e+04 3.4586e+04 4.0684e+04 3.1482e+04 4.5532e+04 3.3546e+04
30.3601 3.7354e+04 3.0863e+04 4.5523e+04 3.1267e+04 4.5205e+04 3.6361e+04 3.8350e+04 3.5329e+04 3.9378e+04 4.1495e+04 3.4345e+04 4.0395e+04 3.1267e+04 4.5205e+04 3.3318e+04
30.4101 3.7093e+04 3.0652e+04 4.5196e+04 3.1054e+04 4.4881e+04 3.6109e+04 3.8080e+04 3.5083e+04 3.9103e+04 4.1204e+04 3.4106e+04 4.0108e+04 3.1054e+04 4.4881e+04 3.3092e+04
30.4602 3.6835e+04 3.0443e+04 4.4872e+04 3.0842e+04 4.4559e+04 3.5859e+04 3.7813e+04 3.4839e+04 3.8830e+04 4.0916e+04 3.3869e+04 3.9824e+04 3.0842e+04 4.4559e+04 3.2867e+04
30.5102 3.6578e+04 3.0236e+04 4.4551e+04 3.0632e+04 4.4240e+04 3.5612e+04 3.7548e+04 3.4597e+04 3.8559e+04 4.0630e+04 3.3634e+04 3.9543e+04 3.0632e+04 4.4240e+04 3.2645e+04
30.5602 3.6324e+04 3.0031e+04 4.4233e+04 3.0423e+04 4.3924e+04 3.5366e+04 3.7285e+04 3.4357e+04 3.8291e+04 4.0346e+04 3.3400e+04 3.9263e+04 3.0423e+04 4.3924e+04 3.2424e+04
30.6102 3.6072e+04 2.9827e+04 4.3917e+04 3.0216e+04 4.3610e+04 3.5122e+04 3.7024e+04 3.4119e+04 3.8024e+04 4.0064e+04 3.3169e+04 3.8986e+04 3.0216e+04 4.3610e+04 3.2205e+04
30.6602 3.5822e+04 2.9624e+04 4.3603e+04 3.0011e+04 4.3299e+04 3.4881e+04 3.6765e+04 3.3883e+04 3.7760e+04 3.9785e+04 3.2940e+04 3.8712e+04 3.0011e+04 4.3299e+04 3.1988e+04
30.7102 3.5574e+04 2.9424e+04 4.3293e+04 2.9808e+04 4.2990e+04 3.4641e+04 3.6509e+04 3.3649e+04 3.7498e+04 3.9508e+04 3.2712e+04 3.8439e+04 2.9808e+04 4.2990e+04 3.1772e+04
30.7603 3.5328e+04 2.9225e+04 4.2985e+04 2.9606e+04 4.2684e+04 3.4403e+04 3.6254e+04 3.3416e+04 3.7239e+04 3.9234e+04 3.2486e+04 3.8169e+04 2.9606e+04 4.2684e+04 3.1559e+04
30.8103 3.5084e+04 2.9027e+04 4.2680e+04 2.9406e+04 4.2381e+04 3.4167e+04 3.6002e+04 3.3186e+04 3.6981e+04 3.8961e+04 3.2262e+04 3.7901e+04 2.9406e+04 4.2381e+04 3.1346e+04
30.8603 3.4841e+04 2.8831e+04 4.2377e+04 2.9207e+04 4.2080e+04 3.3933e+04 3.5751e+04 3.2958e+04 3.6725e+04 3.8691e+04 3.2040e+04 3.7635e+04 2.9207e+04 4.2080e+04 3.1136e+04
30.9103 3.4601e+04 2.8637e+04 4.2076e+04 2.9010e+04 4.1782e+04 3.3701e+04 3.5503e+04 3.2731e+04 3.6472e+04 3.8423e+04 3.1820e+04 3.7372e+04 2.9010e+04 4.1782e+04 3.0927e+04
30.9603 3.4363e+04 2.8444e+04 4.1779e+04 2.8814e+04 4.1486e+04 3.3471e+04 3.5257e+04 3.2506e+04 3.6220e+04 3.8157e+04 3.1602e+04 3.7110e+04 2.8814e+04 4.1486e+04 3.0720e+04
31.0103 3.4127e+04 2.8253e+04 4.1483e+04 2.8620e+04 4.1193e+04 3.3242e+04 3.5013e+04 3.2283e+04 3.5971e+04 3.7893e+04 3.1385e+04 3.6851e+04 2.8620e+04 4.1193e+04 3.0514e+04
31.0604 3.3892e+04 2.8063e+04 4.1190e+04 2.8428e+04 4.0902e+04 3.3016e+04 3.4770e+04 3.2062e+04 3.5723e+04 3.7632e+04 3.1170e+04 3.6594e+04 2.8428e+04 4.0902e+04 3.0311e+04
31.1104 3.3660e+04 2.7875e+04 4.0900e+04 2.8237e+04 4.0614e+04 3.2791e+04 3.4530e+04 3.1842e+04 3.5478e+04 3.7372e+04 3.0957e+04 3.6339e+04 2.8237e+04 4.0614e+04 3.0108e+04
31.1604 3.3429e+04 2.7688e+04 4.0612e+04 2.8047e+04 4.0328e+04 3.2568e+04 3.4292e+04 3.1624e+04 3.5235e+04 3.7115e+04 3.0745e+04 3.6086e+04 2.8047e+04 4.0328e+04 2.9908e+04
31.2104 3.3201e+04 2.7502e+04 4.0326e+04 2.7859e+04 4.0044e+04 3.2347e+04 3.4055e+04 3.1408e+04 3.4993e+04 3.6860e+04 3.0535e+04 3.5835e+04 2.7859e+04 4.0044e+04 2.9708e+04
31.2604 3.2974e+04 2.7319e+04 4.0043e+04 2.7673e+04 3.9763e+04 3.2128e+04 3.3821e+04 3.1194e+04 3.4754e+04 3.6606e+04 3.0327e+04 3.5587e+04 2.7673e+04 3.9763e+04 2.9511e+04
31.3104 3.2749e+04 2.7136e+04 3.9762e+04 2.7488e+04 3.9484e+04 3.1910e+04 3.3588e+04 3.0981e+04 3.4516e+04 3.6355e+04 3.0120e+04 3.5340e+04 2.7488e+04 3.9484e+04 2.9315e+04
31.3605 3.2525e+04 2.6955e+04 3.9483e+04 2.7304e+04 3.9207e+04 3.1694e+04 3.3358e+04 3.0770e+04 3.4280e+04 3.6106e+04 2.9916e+04 3.5095e+04 2.7304e+04 3.9207e+04 2.9120e+04
31.4105 3.2304e+04 2.6775e+04 3.9207e+04 2.7122e+04 3.8932e+04 3.1480e+04 3.3129e+04 3.0561e+04 3.4046e+04 3.5859e+04 2.9712e+04 3.4852e+04 2.7122e+04 3.8932e+04 2.8927e+04
31.4605 3.2084e+04 2.6597e+04 3.8933e+04 2.6942e+04 3.8660e+04 3.1267e+04 3.2902e+04 3.0354e+04 3.3814e+04 3.5614e+04 2.9511e+04 3.4612e+04 2.6942e+04 3.8660e+04 2.8736e+04
31.5105 3.1866e+04 2.6420e+04 3.8661e+04 2.6762e+04 3.8390e+04 3.1056e+04 3.2676e+04 3.0148e+04 3.3584e+04 3.5370e+04 2.9311e+04 3.4373e+04 2.6762e+04 3.8390e+04 2.8545e+04
31.5605 3.1650e+04 2.6245e+04 3.8392e+04 2.6585e+04 3.8122e+04 3.0847e+04 3.2453e+04 2.9944e+04 3.3356e+04 3.5129e+04 2.9112e+04 3.4136e+04 2.6585e+04 3.8122e+04 2.8357e+04
31.6105 3.1435e+04 2.6071e+04 3.8124e+04 2.6408e+04 3.7857e+04 3.0640e+04 3.2232e+04 2.9741e+04 3.3130e+04 3.4890e+04 2.8916e+04 3.3901e+04 2.6408e+04 3.7857e+04 2.8170e+04
31.6606 3.1223e+04 2.5898e+04 3.7859e+04 2.6233e+04 3.7594e+04 3.0434e+04 3.2012e+04 2.9540e+04 3.2905e+04 3.4652e+04 2.8720e+04 3.3668e+04 2.6233e+04 3.7594e+04 2.7984e+04
31.7106 3.1012e+04 2.5727e+04 3.7596e+04 2.6059e+04 3.7332e+04 3.0229e+04 3.1794e+04 2.9341e+04 3.2682e+04 3.4416e+04 2.8526e+04 3.3437e+04 2.6059e+04 3.7332e+04 2.7800e+04
31.7606 3.0802e+04 2.5557e+04 3.7335e+04 2.5887e+04 3.7073e+04 3.0027e+04 3.1577e+04 2.9143e+04 3.2461e+04 3.4183e+04 2.8334e+04 3.3207e+04 2.5887e+04 3.7073e+04 2.7617e+04
31.8106 3.0594e+04 2.5388e+04 3.7076e+04 2.5716e+04 3.6816e+04 2.9826e+04 3.1363e+04 2.8947e+04 3.2242e+04 3.3951e+04 2.8144e+04 3.2980e+04 2.5716e+04 3.6816e+04 2.7436e+04
31.8606 3.0388e+04 2.5221e+04 3.6820e+04 2.5546e+04 3.6561e+04 2.9626e+04 3.1150e+04 2.8752e+04 3.2024e+04 3.3721e+04 2.7954e+04 3.2754e+04 2.5546e+04 3.6561e+04 2.7256e+04
31.9106 3.0184e+04 2.5055e+04 3.6565e+04 2.5378e+04 3.6309e+04 2.9428e+04 3.0939e+04 2.8559e+04 3.1808e+04 3.3493e+04 2.7767e+04 3.2530e+04 2.5378e+04 3.6309e+04 2.7077e+04
31.9607 2.9981e+04 2.4890e+04 3.6313e+04 2.5211e+04 3.6058e+04 2.9232e+04 3.0729e+04 2.8367e+04 3.1594e+04 3.3266e+04 2.7581e+04 3.2308e+04 2.5211e+04 3.6058e+04 2.6900e+04
32.0107 2.9780e+04 2.4726e+04 3.6062e+04 2.5045e+04 3.5809e+04 2.9037e+04 3.0521e+04 2.8177e+04 3.1382e+04 3.3042e+04 2.7396e+04 3.2088e+04 2.5045e+04 3.5809e+04 2.6724e+04
32.0607 2.9580e+04 2.4564e+04 3.5814e+04 2.4880e+04 3.5562e+04 2.8844e+04 3.0315e+04 2.7988e+04 3.1171e+04 3.2819e+04 2.7213e+04 3.1870e+04 2.4880e+04 3.5562e+04 2.6549e+04
32.1107 2.9382e+04 2.4403e+04 3.5568e+04 2.4717e+04 3.5318e+04 2.8652e+04 3.0111e+04 2.7801e+04 3.0962e+04 3.2598e+04 2.7031e+04 3.1653e+04 2.4717e+04 3.5318e+04 2.6376e+04
32.1607 2.9185e+04 2.4243e+04 3.5323e+04 2.4555e+04 3.5075e+04 2.8462e+04 2.9908e+04 2.7616e+04 3.0755e+04 3.2378e+04 2.6850e+04 3.1438e+04 2.4555e+04 3.5075e+04 2.6204e+04
32.2107 2.8990e+04 2.4085e+04 3.5081e+04 2.4394e+04 3.4834e+04 2.8273e+04 2.9706e+04 2.7431e+04 3.0549e+04 3.2161e+04 2.6672e+04 3.1224e+04 2.4394e+04 3.4834e+04 2.6034e+04
32.2608 2.8796e+04 2.3927e+04 3.4840e+04 2.4235e+04 3.4595e+04 2.8085e+04 2.9507e+04 2.7248e+04 3.0345e+04 3.1945e+04 2.6494e+04 3.1013e+04 2.4235e+04 3.4595e+04 2.5864e+04
32.3108 2.8605e+04 2.3771e+04 3.4602e+04 2.4077e+04 3.4358e+04 2.7899e+04 2.9309e+04 2.7067e+04 3.0142e+04 3.1730e+04 2.6318e+04 3.0803e+04 2.4077e+04 3.4358e+04 2.5696e+04
32.3608 2.8414e+04 2.3616e+04 3.4365e+04 2.3920e+04 3.4124e+04 2.7715e+04 2.9112e+04 2.6887e+04 2.9941e+04 3.1518e+04 2.6143e+04 3.0595e+04 2.3920e+04 3.4124e+04 2.5530e+04
32.4108 2.8225e+04 2.3462e+04 3.4131e+04 2.3764e+04 3.3890e+04 2.7532e+04 2.8917e+04 2.6708e+04 2.9742e+04 3.1307e+04 2.5969e+04 3.0388e+04 2.3764e+04 3.3890e+04 2.5364e+04
32.4608 2.8038e+04 2.3310e+04 3.3898e+04 2.3609e+04 3.3659e+04 2.7350e+04 2.8724e+04 2.6531e+04 2.9544e+04 3.1098e+04 2.5797e+04 3.0183e+04 2.3609e+04 3.3659e+04 2.5200e+04
32.5108 2.7852e+04 2.3158e+04 3.3667e+04 2.3456e+04 3.3430e+04 2.7170e+04 2.8532e+04 2.6356e+04 2.9347e+04 3.0890e+04 2.5626e+04 2.9980e+04 2.3456e+04 3.3430e+04 2.5037e+04
32.5609 2.7667e+04 2.3008e+04 3.3438e+04 2.3303e+04 3.3202e+04 2.6991e+04 2.8341e+04 2.6181e+04 2.9153e+04 3.0684e+04 2.5457e+04 2.9778e+04 2.3303e+04 3.3202e+04 2.4876e+04
32.6109 2.7484e+04 2.2859e+04 3.3210e+04 2.3152e+04 3.2976e+04 2.6814e+04 2.8152e+04 2.6008e+04 2.8959e+04 3.0480e+04 2.5289e+04 2.9578e+04 2.3152e+04 3.2976e+04 2.4715e+04
32.6609 2.7302e+04 2.2711e+04 3.2985e+04 2.3002e+04 3.2753e+04 2.6638e+04 2.7965e+04 2.5836e+04 2.8768e+04 3.0277e+04 2.5122e+04 2.9380e+04 2.3002e+04 3.2753e+04 2.4556e+04
32.7109 2.7122e+04 2.2564e+04 3.2761e+04 2.2854e+04 3.2530e+04 2.6463e+04 2.7779e+04 2.5666e+04 2.8577e+04 3.0076e+04 2.4957e+04 2.9183e+04 2.2854e+04 3.2530e+04 2.4398e+04
32.7609 2.6943e+04 2.2418e+04 3.2540e+04 2.2706e+04 3.2310e+04 2.6290e+04 2.7594e+04 2.5497e+04 2.8388e+04 2.9876e+04 2.4792e+04 2.8987e+04 2.2706e+04 3.2310e+04 2.4241e+04
32.8109 2.6765e+04 2.2274e+04 3.2319e+04 2.2559e+04 3.2092e+04 2.6118e+04 2.7411e+04 2.5329e+04 2.8201e+04 2.9678e+04 2.4629e+04 2.8793e+04 2.2559e+04 3.2092e+04 2.4085e+04
32.8610 2.6589e+04 2.2130e+04 3.2101e+04 2.2414e+04 3.1875e+04 2.5947e+04 2.7229e+04 2.5163e+04 2.8015e+04 2.9481e+04 2.4468e+04 2.8601e+04 2.2414e+04 3.1875e+04 2.3931e+04
32.9110 2.6414e+04 2.1988e+04 3.1885e+04 2.2269e+04 3.1660e+04 2.5778e+04 2.7049e+04 2.4998e+04 2.7831e+04 2.9286e+04 2.4307e+04 2.8410e+04 2.2269e+04 3.1660e+04 2.3777e+04
32.9610 2.6241e+04 2.1846e+04 3.1670e+04 2.2126e+04 3.1446e+04 2.5609e+04 2.6870e+04 2.4834e+04 2.7648e+04 2.9093e+04 2.4148e+04 2.8221e+04 2.2126e+04 3.1446e+04 2.3625e+04
33.0110 2.6068e+04 2.1706e+04 3.1456e+04 2.1984e+04 3.1234e+04 2.5443e+04 2.6693e+04 2.4671e+04 2.7466e+04 2.8901e+04 2.3990e+04 2.8033e+04 2.1984e+04 3.1234e+04 2.3474e+04
33.0610 2.5898e+04 2.1567e+04 3.1245e+04 2.1843e+04 3.1024e+04 2.5277e+04 2.6516e+04 2.4510e+04 2.7286e+04 2.8710e+04 2.3833e+04 2.7846e+04 2.1843e+04 3.1024e+04 2.3324e+04
33.1110 2.5728e+04 2.1429e+04 3.1035e+04 2.1703e+04 3.0816e+04 2.5113e+04 2.6342e+04 2.4349e+04 2.7107e+04 2.8521e+04 2.3678e+04 2.7661e+04 2.1703e+04 3.0816e+04 2.3176e+04
33.1611 2.5560e+04 2.1292e+04 3.0827e+04 2.1564e+04 3.0609e+04 2.4950e+04 2.6168e+04 2.4190e+04 2.6930e+04 2.8333e+04 2.3523e+04 2.7478e+04 2.1564e+04 3.0609e+04 2.3028e+04
33.2111 2.5393e+04 2.1155e+04 3.0620e+04 2.1426e+04 3.0404e+04 2.4788e+04 2.5996e+04 2.4033e+04 2.6754e+04 2.8147e+04 2.3370e+04 2.7296e+04 2.1426e+04 3.0404e+04 2.2881e+04
33.2611 2.5228e+04 2.1020e+04 3.0415e+04 2.1289e+04 3.0200e+04 2.4628e+04 2.5826e+04 2.3876e+04 2.6579e+04 2.7962e+04 2.3218e+04 2.7115e+04 2.1289e+04 3.0200e+04 2.2736e+04
33.3111 2.5063e+04 2.0886e+04 3.0212e+04 2.1153e+04 2.9999e+04 2.4468e+04 2.5656e+04 2.3721e+04 2.6406e+04 2.7779e+04 2.3067e+04 2.6936e+04 2.1153e+04 2.9999e+04 2.2592e+04
33.3611 2.4900e+04 2.0753e+04 3.0010e+04 2.1018e+04 2.9798e+04 2.4310e+04 2.5488e+04 2.3567e+04 2.6234e+04 2.7597e+04 2.2917e+04 2.6758e+04 2.1018e+04 2.9798e+04 2.2448e+04
33.4111 2.4738e+04 2.0621e+04 2.9810e+04 2.0884e+04 2.9600e+04 2.4153e+04 2.5321e+04 2.3414e+04 2.6063e+04 2.7417e+04 2.2769e+04 2.6582e+04 2.0884e+04 2.9600e+04 2.2306e+04
33.4612 2.4578e+04 2.0490e+04 2.9612e+04 2.0751e+04 2.9402e+04 2.3998e+04 2.5156e+04 2.3262e+04 2.5894e+04 2.7238e+04 2.2621e+04 2.6407e+04 2.0751e+04 2.9402e+04 2.2165e+04
33.5112 2.4418e+04 2.0360e+04 2.9415e+04 2.0620e+04 2.9207e+04 2.3843e+04 2.4992e+04 2.3112e+04 2.5725e+04 2.7060e+04 2.2475e+04 2.6233e+04 2.0620e+04 2.9207e+04 2.2025e+04
33.5612 2.4260e+04 2.0231e+04 2.9219e+04 2.0489e+04 2.9013e+04 2.3690e+04 2.4829e+04 2.2962e+04 2.5559e+04 2.6883e+04 2.2330e+04 2.6060e+04 2.0489e+04 2.9013e+04 2.1886e+04
33.6112 2.4103e+04 2.0103e+04 2.9026e+04 2.0359e+04 2.8820e+04 2.3538e+04 2.4667e+04 2.2814e+04 2.5393e+04 2.6708e+04 2.2186e+04 2.5889e+04 2.0359e+04 2.8820e+04 2.1748e+04
33.6612 2.3948e+04 1.9976e+04 2.8833e+04 2.0230e+04 2.8629e+04 2.3386e+04 2.4507e+04 2.2667e+04 2.5229e+04 2.6535e+04 2.2043e+04 2.5720e+04 2.0230e+04 2.8629e+04 2.1610e+04
33.7112 2.3793e+04 1.9849e+04 2.8642e+04 2.0102e+04 2.8439e+04 2.3237e+04 2.4347e+04 2.2521e+04 2.5066e+04 2.6362e+04 2.1901e+04 2.5551e+04 2.0102e+04 2.8439e+04 2.1474e+04
33.7613 2.3640e+04 1.9724e+04 2.8453e+04 1.9975e+04 2.8251e+04 2.3088e+04 2.4189e+04 2.2376e+04 2.4904e+04 2.6191e+04 2.1760e+04 2.5384e+04 1.9975e+04 2.8251e+04 2.1340e+04
33.8113 2.3488e+04 1.9600e+04 2.8265e+04 1.9849e+04 2.8064e+04 2.2940e+04 2.4033e+04 2.2232e+04 2.4744e+04 2.6022e+04 2.1620e+04 2.5218e+04 1.9849e+04 2.8064e+04 2.1206e+04
33.8613 2.3337e+04 1.9476e+04 2.8078e+04 1.9724e+04 2.7879e+04 2.2794e+04 2.3877e+04 2.2089e+04 2.4584e+04 2.5853e+04 2.1482e+04 2.5054e+04 1.9724e+04 2.7879e+04 2.1072e+04
33.9113 2.3187e+04 1.9353e+04 2.7893e+04 1.9600e+04 2.7696e+04 2.2648e+04 2.3723e+04 2.1947e+04 2.4426e+04 2.5686e+04 2.1344e+04 2.4890e+04 1.9600e+04 2.7696e+04 2.0940e+04
33.9613 2.3038e+04 1.9232e+04 2.7710e+04 1.9476e+04 2.7513e+04 2.2504e+04 2.3569e+04 2.1807e+04 2.4269e+04 2.5520e+04 2.1207e+04 2.4728e+04 1.9476e+04 2.7513e+04 2.0809e+04
34.0113 2.2890e+04 1.9111e+04 2.7527e+04 1.9354e+04 2.7332e+04 2.2361e+04 2.3417e+04 2.1667e+04 2.4113e+04 2.5356e+04 2.1072e+04 2.4568e+04 1.9354e+04 2.7332e+04 2.0679e+04
34.0614 2.2744e+04 1.8991e+04 2.7347e+04 1.9232e+04 2.7153e+04 2.2218e+04 2.3266e+04 2.1529e+04 2.3959e+04 2.5192e+04 2.0937e+04 2.4408e+04 1.9232e+04 2.7153e+04 2.0550e+04
34.1114 2.2598e+04 1.8872e+04 2.7167e+04 1.9112e+04 2.6974e+04 2.2077e+04 2.3117e+04 2.1391e+04 2.3805e+04 2.5030e+04 2.0804e+04 2.4250e+04 1.9112e+04 2.6974e+04 2.0422e+04
34.1614 2.2454e+04 1.8754e+04 2.6989e+04 1.8992e+04 2.6798e+04 2.1937e+04 2.2968e+04 2.1255e+04 2.3653e+04 2.4869e+04 2.0671e+04 2.4092e+04 1.8992e+04 2.6798e+04 2.0295e+04
34.2114 2.2311e+04 1.8637e+04 2.6813e+04 1.8873e+04 2.6622e+04 2.1798e+04 2.2821e+04 2.1119e+04 2.3502e+04 2.4710e+04 2.0540e+04 2.3937e+04 1.8873e+04 2.6622e+04 2.0168e+04
34.2614 2.2168e+04 1.8521e+04 2.6637e+04 1.8756e+04 2.6448e+04 2.1660e+04 2.2674e+04 2.0985e+04 2.3352e+04 2.4551e+04 2.0409e+04 2.3782e+04 1.8756e+04 2.6448e+04 2.0043e+04
34.3114 2.2027e+04 1.8405e+04 2.6464e+04 1.8638e+04 2.6275e+04 2.1523e+04 2.2529e+04 2.0852e+04 2.3203e+04 2.4394e+04 2.0280e+04 2.3628e+04 1.8638e+04 2.6275e+04 1.9918e+04
34.3615 2.1887e+04 1.8290e+04 2.6291e+04 1.8522e+04 2.6104e+04 2.1387e+04 2.2385e+04 2.0719e+04 2.3056e+04 2.4238e+04 2.0151e+04 2.3476e+04 1.8522e+04 2.6104e+04 1.9795e+04
34.4115 2.1748e+04 1.8176e+04 2.6120e+04 1.8407e+04 2.5934e+04 2.1252e+04 2.2242e+04 2.0588e+04 2.2909e+04 2.4083e+04 2.0023e+04 2.3325e+04 1.8407e+04 2.5934e+04 1.9672e+04
34.4615 2.1610e+04 1.8064e+04 2.5950e+04 1.8292e+04 2.5765e+04 2.1119e+04 2.2100e+04 2.0457e+04 2.2764e+04 2.3929e+04 1.9896e+04 2.3174e+04 1.8292e+04 2.5765e+04 1.9550e+04
34.5115 2.1474e+04 1.7951e+04 2.5781e+04 1.8179e+04 2.5598e+04 2.0986e+04 2.1959e+04 2.0328e+04 2.2619e+04 2.3776e+04 1.9771e+04 2.3026e+04 1.8179e+04 2.5598e+04 1.9429e+04
34.5615 2.1338e+04 1.7840e+04 2.5614e+04 1.8066e+04 2.5431e+04 2.0854e+04 2.1819e+04 2.0200e+04 2.2476e+04 2.3625e+04 1.9646e+04 2.2878e+04 1.8066e+04 2.5431e+04 1.9309e+04
34.6115 2.1203e+04 1.7729e+04 2.5448e+04 1.7954e+04 2.5266e+04 2.0723e+04 2.1680e+04 2.0072e+04 2.2334e+04 2.3474e+04 1.9522e+04 2.2731e+04 1.7954e+04 2.5266e+04 1.9190e+04
34.6616 2.1069e+04 1.7620e+04 2.5283e+04 1.7843e+04 2.5103e+04 2.0593e+04 2.1542e+04 1.9945e+04 2.2192e+04 2.3325e+04 1.9399e+04 2.2585e+04 1.7843e+04 2.5103e+04 1.9072e+04
34.7116 2.0936e+04 1.7511e+04 2.5119e+04 1.7732e+04 2.4940e+04 2.0464e+04 2.1405e+04 1.9820e+04 2.2052e+04 2.3177e+04 1.9277e+04 2.2441e+04 1.7732e+04 2.4940e+04 1.8954e+04
34.7616 2.0804e+04 1.7403e+04 2.4957e+04 1.7623e+04 2.4779e+04 2.0336e+04 2.1270e+04 1.9695e+04 2.1913e+04 2.3030e+04 1.9156e+04 2.2297e+04 1.7623e+04 2.4779e+04 1.8838e+04
34.8116 2.0673e+04 1.7295e+04 2.4796e+04 1.7514e+04 2.4619e+04 2.0208e+04 2.1135e+04 1.9571e+04 2.1775e+04 2.2884e+04 1.9036e+04 2.2155e+04 1.7514e+04 2.4619e+04 1.8722e+04
34.8616 2.0543e+04 1.7189e+04 2.4636e+04 1.7406e+04 2.4460e+04 2.0082e+04 2.1001e+04 1.9448e+04 2.1638e+04 2.2740e+04 1.8916e+04 2.2014e+04 1.7406e+04 2.4460e+04 1.8607e+04
34.9116 2.0414e+04 1.7083e+04 2.4477e+04 1.7299e+04 2.4303e+04 1.9957e+04 2.0868e+04 1.9326e+04 2.1502e+04 2.2596e+04 1.8798e+04 2.1874e+04 1.7299e+04 2.4303e+04 1.8493e+04
34.9617 2.0286e+04 1.6978e+04 2.4320e+04 1.7192e+04 2.4146e+04 1.9833e+04 2.0737e+04 1.9205e+04 2.1367e+04 2.2453e+04 1.8680e+04 2.1734e+04 1.7192e+04 2.4146e+04 1.8380e+04
35.0117 2.0159e+04 1.6874e+04 2.4164e+04 1.7087e+04 2.3991e+04 1.9709e+04 2.0606e+04 1.9085e+04 2.1233e+04 2.2312e+04 1.8563e+04 2.1596e+04 1.7087e+04 2.3991e+04 1.8267e+04
35.0617 2.0033e+04 1.6770e+04 2.4008e+04 1.6982e+04 2.3837e+04 1.9587e+04 2.0476e+04 1.8966e+04 2.1100e+04 2.2171e+04 1.8447e+04 2.1459e+04 1.6982e+04 2.3837e+04 1.8156e+04
35.1117 1.9908e+04 1.6667e+04 2.3855e+04 1.6878e+04 2.3684e+04 1.9465e+04 2.0347e+04 1.8848e+04 2.0968e+04 2.2032e+04 1.8332e+04 2.1323e+04 1.6878e+04 2.3684e+04 1.8045e+04
35.1617 1.9783e+04 1.6565e+04 2.3702e+04 1.6774e+04 2.3532e+04 1.9344e+04 2.0220e+04 1.8730e+04 2.0837e+04 2.1893e+04 1.8218e+04 2.1188e+04 1.6774e+04 2.3532e+04 1.7935e+04
