# FONLL heavy quark hadroproduction cross section, calculated on Tue Dec 28 18:00:00 CET 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.
# ptmax = 150.
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
1.1504 6.1552e+06 2.6869e+06 9.4762e+06 3.0102e+06 9.0205e+06 5.0728e+06 7.5163e+06 5.1722e+06 7.1383e+06 5.0262e+06 6.5019e+06 8.1301e+06 4.5013e+06 9.0205e+06 3.0102e+06
1.2004 6.3532e+06 2.7833e+06 9.7646e+06 3.1164e+06 9.2948e+06 5.2394e+06 7.7526e+06 5.3400e+06 7.3663e+06 5.1972e+06 6.7099e+06 8.3793e+06 4.6507e+06 9.2948e+06 3.1164e+06
1.2504 6.5442e+06 2.8775e+06 1.0041e+07 3.2199e+06 9.5580e+06 5.4006e+06 7.9800e+06 5.5022e+06 7.5862e+06 5.3633e+06 6.9106e+06 8.6189e+06 4.7954e+06 9.5580e+06 3.2199e+06
1.3004 6.7282e+06 2.9694e+06 1.0307e+07 3.3207e+06 9.8104e+06 5.5564e+06 8.1985e+06 5.6586e+06 7.7978e+06 5.5244e+06 7.1038e+06 8.8488e+06 4.9352e+06 9.8104e+06 3.3207e+06
1.3505 6.9053e+06 3.0591e+06 1.0561e+07 3.4188e+06 1.0052e+07 5.7066e+06 8.4081e+06 5.8095e+06 8.0012e+06 5.6806e+06 7.2895e+06 9.0692e+06 5.0700e+06 1.0052e+07 3.4188e+06
1.4005 7.0755e+06 3.1464e+06 1.0803e+07 3.5142e+06 1.0283e+07 5.8515e+06 8.6088e+06 5.9546e+06 8.1963e+06 5.8317e+06 7.4677e+06 9.2801e+06 5.2000e+06 1.0283e+07 3.5142e+06
1.4505 7.2387e+06 3.2314e+06 1.1034e+07 3.6068e+06 1.0503e+07 5.9908e+06 8.8007e+06 6.0941e+06 8.3832e+06 5.9778e+06 7.6384e+06 9.4816e+06 5.3250e+06 1.0503e+07 3.6068e+06
1.5005 7.3949e+06 3.3141e+06 1.1254e+07 3.6966e+06 1.0713e+07 6.1246e+06 8.9837e+06 6.2280e+06 8.5619e+06 6.1188e+06 7.8016e+06 9.6738e+06 5.4451e+06 1.0713e+07 3.6966e+06
1.5505 7.5444e+06 3.3944e+06 1.1464e+07 3.7836e+06 1.0913e+07 6.2531e+06 9.1582e+06 6.3563e+06 8.7325e+06 6.2549e+06 7.9575e+06 9.8571e+06 5.5603e+06 1.0913e+07 3.7836e+06
1.6005 7.6872e+06 3.4724e+06 1.1663e+07 3.8679e+06 1.1103e+07 6.3763e+06 9.3243e+06 6.4792e+06 8.8952e+06 6.3861e+06 8.1062e+06 1.0032e+07 5.6706e+06 1.1103e+07 3.8679e+06
