# Job started on: Wed Aug  4 01:17:48 CEST 2021 ........
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug  4 01:19:06 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 12
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
2.2185 2.1025e+08 3.7490e+07 4.4885e+08 4.6425e+07 4.3888e+08 1.6692e+08 2.6962e+08 1.7664e+08 2.4387e+08 1.0652e+08 2.4229e+08 3.7762e+08 1.2565e+08 4.3888e+08 4.6425e+07
2.3193 1.9827e+08 4.0038e+07 4.1728e+08 4.8369e+07 4.0796e+08 1.5797e+08 2.5350e+08 1.6756e+08 2.2898e+08 1.0842e+08 2.2462e+08 3.4907e+08 1.1929e+08 4.0796e+08 4.8369e+07
2.4202 1.8650e+08 4.1680e+07 3.8716e+08 4.9418e+07 3.7848e+08 1.4914e+08 2.3772e+08 1.5848e+08 2.1452e+08 1.0887e+08 2.0799e+08 3.2219e+08 1.1297e+08 3.7848e+08 4.9418e+07
2.5210 1.7507e+08 4.2587e+07 3.5866e+08 4.9753e+07 3.5059e+08 1.4051e+08 2.2242e+08 1.4951e+08 2.0062e+08 1.0801e+08 1.9243e+08 2.9703e+08 1.0674e+08 3.5059e+08 4.9753e+07
2.6218 1.6406e+08 4.2933e+07 3.3186e+08 4.9556e+07 3.2439e+08 1.3216e+08 2.0774e+08 1.4075e+08 1.8737e+08 1.0603e+08 1.7793e+08 2.7363e+08 1.0067e+08 3.2439e+08 4.9556e+07
2.7227 1.5355e+08 4.2854e+07 3.0682e+08 4.8968e+07 2.9991e+08 1.2414e+08 1.9378e+08 1.3229e+08 1.7480e+08 1.0318e+08 1.6447e+08 2.5194e+08 9.4813e+07 2.9991e+08 4.8968e+07
2.8235 1.4355e+08 4.2458e+07 2.8350e+08 4.8100e+07 2.7711e+08 1.1648e+08 1.8057e+08 1.2416e+08 1.6295e+08 9.9819e+07 1.5201e+08 2.3192e+08 8.9187e+07 2.7711e+08 4.8100e+07
2.9244 1.3411e+08 4.1828e+07 2.6185e+08 4.7036e+07 2.5596e+08 1.0919e+08 1.6813e+08 1.1641e+08 1.5181e+08 9.6361e+07 1.4051e+08 2.1350e+08 8.3815e+07 2.5596e+08 4.7036e+07
3.0252 1.2520e+08 4.1025e+07 2.4182e+08 4.5834e+07 2.3638e+08 1.0229e+08 1.5646e+08 1.0904e+08 1.4137e+08 9.2726e+07 1.2990e+08 1.9656e+08 7.8706e+07 2.3638e+08 4.5834e+07
3.1261 1.1684e+08 4.0058e+07 2.2330e+08 4.4499e+07 2.1829e+08 9.5766e+07 1.4554e+08 1.0206e+08 1.3161e+08 8.8924e+07 1.2013e+08 1.8103e+08 7.3864e+07 2.1829e+08 4.4499e+07
3.2269 1.0899e+08 3.8955e+07 2.0620e+08 4.3057e+07 2.0158e+08 8.9621e+07 1.3536e+08 9.5483e+07 1.2250e+08 8.5040e+07 1.1114e+08 1.6678e+08 6.9287e+07 2.0158e+08 4.3057e+07
3.3277 1.0165e+08 3.7755e+07 1.9044e+08 4.1545e+07 1.8618e+08 8.3846e+07 1.2586e+08 8.9290e+07 1.1402e+08 8.1140e+07 1.0287e+08 1.5373e+08 6.4972e+07 1.8618e+08 4.1545e+07
3.4286 9.4797e+07 3.6488e+07 1.7592e+08 3.9991e+07 1.7199e+08 7.8427e+07 1.1703e+08 8.3473e+07 1.0612e+08 7.7274e+07 9.5268e+07 1.4178e+08 6.0909e+07 1.7199e+08 3.9991e+07
3.5294 8.8400e+07 3.5179e+07 1.6256e+08 3.8418e+07 1.5893e+08 7.3350e+07 1.0882e+08 7.8018e+07 9.8781e+07 7.3479e+07 8.8279e+07 1.3084e+08 5.7090e+07 1.5893e+08 3.8418e+07
3.6303 8.2436e+07 3.3847e+07 1.5026e+08 3.6844e+07 1.4691e+08 6.8598e+07 1.0120e+08 7.2909e+07 9.1963e+07 6.9782e+07 8.1857e+07 1.2083e+08 5.3505e+07 1.4691e+08 3.6844e+07
3.7311 7.6884e+07 3.2512e+07 1.3895e+08 3.5286e+07 1.3586e+08 6.4158e+07 9.4127e+07 6.8133e+07 8.5634e+07 6.6204e+07 7.5953e+07 1.1166e+08 5.0145e+07 1.3586e+08 3.5286e+07
3.8319 7.1723e+07 3.1188e+07 1.2855e+08 3.3757e+07 1.2570e+08 6.0020e+07 8.7569e+07 6.3678e+07 7.9768e+07 6.2757e+07 7.0521e+07 1.0327e+08 4.7002e+07 1.2570e+08 3.3757e+07
3.9328 6.6929e+07 2.9882e+07 1.1899e+08 3.2262e+07 1.1636e+08 5.6164e+07 8.1492e+07 5.9526e+07 7.4332e+07 5.9448e+07 6.5523e+07 9.5572e+07 4.4066e+07 1.1636e+08 3.2262e+07
4.0336 6.2477e+07 2.8601e+07 1.1021e+08 3.0807e+07 1.0778e+08 5.2573e+07 7.5863e+07 5.5659e+07 6.9295e+07 5.6280e+07 6.0922e+07 8.8517e+07 4.1323e+07 1.0778e+08 3.0807e+07
4.1345 5.8343e+07 2.7348e+07 1.0213e+08 2.9393e+07 9.9890e+07 4.9229e+07 7.0650e+07 5.2057e+07 6.4629e+07 5.3254e+07 5.6685e+07 8.2047e+07 3.8761e+07 9.9890e+07 2.9393e+07
4.2353 5.4505e+07 2.6126e+07 9.4702e+07 2.8023e+07 9.2637e+07 4.6115e+07 6.5822e+07 4.8703e+07 6.0307e+07 5.0370e+07 5.2782e+07 7.6111e+07 3.6369e+07 9.2637e+07 2.8023e+07
4.3361 5.0942e+07 2.4939e+07 8.7874e+07 2.6698e+07 8.5969e+07 4.3217e+07 6.1352e+07 4.5581e+07 5.6302e+07 4.7623e+07 4.9185e+07 7.0664e+07 3.4135e+07 8.5969e+07 2.6698e+07
4.4370 4.7633e+07 2.3786e+07 8.1596e+07 2.5419e+07 7.9838e+07 4.0518e+07 5.7211e+07 4.2675e+07 5.2592e+07 4.5012e+07 4.5868e+07 6.5662e+07 3.2049e+07 7.9838e+07 2.5419e+07
4.5378 4.4564e+07 2.2676e+07 7.5823e+07 2.4193e+07 7.4200e+07 3.8006e+07 5.3381e+07 3.9972e+07 4.9156e+07 4.2540e+07 4.2808e+07 6.1064e+07 3.0104e+07 7.4200e+07 2.4193e+07
4.6387 4.1719e+07 2.1615e+07 7.0513e+07 2.3025e+07 6.9014e+07 3.5671e+07 4.9840e+07 3.7462e+07 4.5976e+07 4.0207e+07 3.9979e+07 5.6831e+07 2.8293e+07 6.9014e+07 2.3025e+07
4.7395 3.9080e+07 2.0601e+07 6.5627e+07 2.1913e+07 6.4241e+07 3.3497e+07 4.6566e+07 3.5130e+07 4.3030e+07 3.8006e+07 3.7363e+07 5.2932e+07 2.6605e+07 6.4241e+07 2.1913e+07
4.8403 3.6630e+07 1.9632e+07 6.1126e+07 2.0854e+07 5.9844e+07 3.1473e+07 4.3537e+07 3.2961e+07 4.0300e+07 3.5931e+07 3.4943e+07 4.9337e+07 2.5032e+07 5.9844e+07 2.0854e+07
