# 30-50%, D0-meson R_AA
# uncertainty band from w/ or w/o hadronic phase diffusion
PtCent R_AA_max R_AA_min
0.10 0.43337 0.37118
0.30 0.49309 0.44052
0.50 0.55332 0.51441
0.70 0.62564 0.60195
0.90 0.68744 0.68274
1.10 0.73845 0.75533
1.30 0.78173 0.82006
1.50 0.80836 0.86609
1.70 0.81724 0.88792
1.90 0.81405 0.88957
2.10 0.80481 0.87746
2.30 0.78169 0.84363
2.50 0.75171 0.79778
2.70 0.71958 0.74761
2.90 0.68145 0.69080
3.10 0.64237 0.63624
3.30 0.60578 0.58644
3.50 0.57030 0.54206
3.70 0.53846 0.50449
3.90 0.51256 0.47462
4.10 0.48942 0.44856
4.30 0.46803 0.42664
4.50 0.45268 0.41031
4.70 0.43733 0.39498
4.90 0.42521 0.38294
5.10 0.41279 0.37169
5.30 0.40334 0.36249
5.50 0.39887 0.35751
5.70 0.39244 0.35277
5.90 0.38671 0.34665
6.10 0.38485 0.34530
6.30 0.38215 0.34398
6.50 0.38052 0.34203
6.70 0.37616 0.33900
6.90 0.37679 0.33854
7.10 0.37851 0.33916
7.30 0.37767 0.33897
7.50 0.37737 0.33794
7.70 0.38271 0.34358
7.90 0.38479 0.34306
8.10 0.38535 0.34826
8.30 0.38782 0.35128
8.50 0.39000 0.35319
8.70 0.39348 0.35567
8.90 0.39795 0.35855
9.10 0.40125 0.36127
9.30 0.40414 0.36417
9.50 0.40714 0.36743
9.70 0.41068 0.36979
9.90 0.41280 0.37217
10.1 0.41535 0.37485
10.3 0.41895 0.37784
10.5 0.42124 0.37990
10.7 0.42358 0.38253
10.9 0.42590 0.38594
11.1 0.42831 0.38803
11.3 0.43155 0.39159
11.5 0.43466 0.39475
11.7 0.43799 0.39795
11.9 0.44022 0.40013
