# PtCent in GeV
PtCent R_AA
0.205030 2.04249
0.336490 2.03057
0.467940 2.01865
0.643850 2.03653
0.775870 2.05440
0.951670 2.06632
1.083810 2.09016
1.303610 2.10803
1.435860 2.13782
1.611890 2.16166
1.875590 2.17953
2.051730 2.20933
2.359210 2.22124
2.622910 2.23912
2.929930 2.22720
3.281080 2.22720
3.543750 2.19145
3.806540 2.16166
3.981210 2.11399
4.243770 2.07228
4.506450 2.03653
4.636990 1.97694
4.855430 1.92332
5.073650 1.85777
5.292430 1.82202
5.379310 1.77435
5.510080 1.72668
5.685080 1.69689
5.859970 1.66114
5.990970 1.62539
6.165520 1.57176
6.296400 1.53005
6.514730 1.47047
6.777180 1.42280
7.039400 1.36321
7.301620 1.30363
7.607390 1.22617
8.176190 1.13083
8.701420 1.05337
9.138990 0.98187
9.664690 0.92824
10.18970 0.83886
10.80363 0.80907
11.41723 0.76140
11.94292 0.70777
12.42540 0.68990
13.08301 0.64819
13.78473 0.61839
14.26676 0.57668
15.18806 0.55285
15.84657 0.55881
16.76787 0.53497
17.95287 0.52902
19.00619 0.52306
20.05940 0.51114
21.06894 0.51114
22.21005 0.50518
23.13203 0.51710
24.49238 0.49922
24.93154 0.51114
