# PtCent in GeV
PtCent R_AA
0.10 1.03606
0.30 1.05284
0.50 1.05505
0.70 1.05941
0.90 1.06710
1.10 1.07580
1.30 1.08127
1.50 1.08797
1.70 1.09218
1.90 1.09411
2.10 1.09389
2.30 1.09014
2.50 1.08686
2.70 1.08352
2.90 1.07192
3.10 1.06662
3.30 1.05481
3.50 1.04321
3.70 1.02790
3.90 1.01334
4.10 0.99351
4.30 0.97685
4.50 0.95912
4.70 0.94327
4.90 0.93485
5.10 0.90932
5.30 0.88795
5.50 0.86797
5.70 0.84482
5.90 0.82956
6.10 0.81826
6.30 0.80250
6.50 0.78266
6.70 0.76026
6.90 0.76068
7.10 0.74353
7.30 0.73659
7.50 0.71705
7.70 0.70849
7.90 0.69002
8.10 0.68325
8.30 0.66900
8.50 0.67190
8.70 0.66225
8.90 0.65268
9.10 0.65175
9.30 0.64051
9.50 0.63921
9.70 0.62571
9.90 0.62448
10.1 0.61694
10.3 0.61767
10.5 0.62435
10.7 0.60925
10.9 0.60744
11.1 0.59739
11.3 0.60112
11.5 0.59382
11.7 0.58989
11.9 0.58848
12.1 0.59176
12.3 0.58761
12.5 0.57062
12.7 0.58582
12.9 0.58630
13.1 0.57235
13.3 0.56957
13.5 0.57651
13.7 0.58591
13.9 0.57654
14.1 0.57073
14.3 0.58118
14.5 0.56813
14.7 0.58016
14.9 0.58262
15.1 0.57281
15.3 0.57881
15.5 0.56529
15.7 0.56560
15.9 0.57578
16.1 0.59295
16.3 0.59844
16.5 0.57434
16.7 0.57738
16.9 0.57910
17.1 0.58221
17.3 0.58730
17.5 0.59837
17.7 0.59647
17.9 0.60051
18.1 0.59896
18.3 0.60801
18.5 0.59921
18.7 0.59626
18.9 0.60086
19.1 0.59985
19.3 0.60678
19.5 0.61460
19.7 0.62076
19.9 0.61770
20.1 0.61788
20.3 0.62205
20.5 0.60521
20.7 0.61244
20.9 0.61884
21.1 0.60635
21.3 0.62299
21.5 0.62116
21.7 0.61343
21.9 0.60475
22.1 0.62622
22.3 0.62552
22.5 0.62294
22.7 0.61975
22.9 0.61820
23.1 0.61943
23.3 0.62785
23.5 0.62015
23.7 0.61878
23.9 0.61904
24.1 0.61345
24.3 0.61674
24.5 0.60661
24.7 0.61620
24.9 0.61811
